market_code,涨停原因类别[20260514],code,股票代码
33,,001215,001215.SZ
33,,002667,002667.SZ
33,生猪养殖+预重整延期+绿色电力,002124,002124.SZ
17,,600539,600539.SH
33,,000078,000078.SZ
33,国资背景+建筑装饰+ST摘帽预期,002856,002856.SZ
22,,600187,600187.SH
33,间接持有长鑫科技+房地产+合肥国资,002208,002208.SZ
17,算力期货催化+期货经纪+境外清算+一季报高增,603093,603093.SH
33,,000925,000925.SZ
33,TOPCon电池+储能系统+绿色能源,002506,002506.SZ
22,,603398,603398.SH
22,,600745,600745.SH
33,,000639,000639.SZ
33,人形机器人+光伏+智能制造,002514,002514.SZ
17,碳化硅+半导体设备+并购为准智能,688478,688478.SH
22,,603959,603959.SH
33,液冷并购+瓶盖龙头+北美客户,003018,003018.SZ
33,,000056,000056.SZ
22,算力转型+GPU定制+ST保壳,600289,600289.SH
33,碳酸锂+石英晶体+申请撤销退市风险警,002199,002199.SZ
17,TCO玻璃+钙钛矿+上海国资,600819,600819.SH
17,高岭土龙头+提锂中试+紫金入股+福建国资,605086,605086.SH
33,PI膜+锂电隔膜设备+机器人,001223,001223.SZ
33,减盐酱油+ST摘帽预期+一季度扭亏,002650,002650.SZ
17,,603090,603090.SH
