涨停原因类别[20260810],股票代码,code,market_code
水泥+矿产+西藏国资,600326.SH,600326,17
工业母机+谐波减速器,002248.SZ,002248,33
军工+弹药装备+兵装重组+央企,601606.SH,601606,17
AI应用+智慧交通+平陆运河+资产注入,600936.SH,600936,17
军工智能装备+军车复合材料+资产重组完成,301357.SZ,301357,33
甲醇+风电+河北国资,600722.SH,600722,17
重大资产重组+智能电网+保壳,605336.SH,605336,22
设立长空事业部+航空航天表+机器人+激光器,000026.SZ,000026,33
AI算力+中报预增+磁性元器件,002885.SZ,002885,33
海缆+电网设备+储能电缆,002300.SZ,002300,33
算力租赁+IDC+定增,002289.SZ,002289,33
热电联产+电力+安哥拉电解铝+定增,001376.SZ,001376,33
创新药+AI应用+医药流通,002589.SZ,002589,33
创新药+药物分子砌块+ADC,688073.SH,688073,17
家居零售+AI应用+重整投资,600337.SH,600337,22
算力基础设施+智能输配电+半年报预增,002298.SZ,002298,33
拟收购存储测试+小盘炒作+PVC地板,603221.SH,603221,17
黄金+铜+半年度预增+回购,600490.SH,600490,17
人形机器人+真空镀膜+发动机核心零部件+回购注销,603758.SH,603758,17
铟+铋材料+离子注入设备+半导体设备,600641.SH,600641,17
锂电池隔膜+限售解禁+广东国资,000973.SZ,000973,33
资产重组+北京国资+拟购光电子资产+TOD,600683.SH,600683,17
控制权拟变更+轻型输送带+精密金属结构件,603580.SH,603580,17
钨锡铅锌矿+碳酸锂+ST板块,002667.SZ,002667,33
AI算力芯片+第三方支付+半年报扣非增长,002647.SZ,002647,33
SPD+医药商业+资产收购+上海国资,600272.SH,600272,17
农药+半年报增长+西部大开发,605033.SH,605033,17
创新药+化学制药+股份回购,002370.SZ,002370,33
蹦床龙头+健身器材+外销为主,001300.SZ,001300,33
尼龙6+涤纶工业丝+智能制造,603382.SH,603382,17
,300246.SZ,300246,33
钨全产业链+光伏钨丝+定增获批+中报预增,002842.SZ,002842,33
污水处理+PPP项目+估值提升计划,603797.SH,603797,17
乳业+烘焙食品+冷链物流,605179.SH,605179,17
风电投资+绿电交易+央企,000537.SZ,000537,33
醋酸纤维素+TAC膜+造纸+宜宾国资,600793.SH,600793,17
,600363.SH,600363,17
定增实施+涡轮增压器+混合动力,603161.SH,603161,17
革基布龙头+入股商业卫星+股份回购+定增获批,603130.SH,603130,17
油服工程+控制权变更+暂缓加拿大投资,002828.SZ,002828,33
医药商业+中报预增+上海国资,600833.SH,600833,17
玻璃盖板+储能调频+车载玻璃,301051.SZ,301051,33
不动产综合运营+代建+摘帽+中报预计扭亏,000656.SZ,000656,33
特高压+中报预增+国企改革,601700.SH,601700,17
BIPV+海外订单+民营医院,601886.SH,601886,17
AI医疗+体检龙头+AI收入增长,002044.SZ,002044,33
AI政务+信创+数据要素,002474.SZ,002474,33
