股票代码,market_code,code,涨停原因类别[20260618]
603663.SH,17,603663,锆铪分离+锆系新材+半导体材料+固态电池
603679.SH,17,603679,股份转让+华为超充+低空经济
603778.SH,17,603778,
603825.SH,22,603825,
603843.SH,22,603843,绿色算力+智算科技+预重整+矿业
603956.SH,17,603956,液冷泵+智慧水务+六张网建设
603989.SH,17,603989,MLPC+AI服务器+铝电解电容+薄膜电容
603991.SH,17,603991,半导体引线框架+半导体设备+资产重组
605006.SH,17,605006,
605086.SH,17,605086,提锂量产+高岭土+紫金矿业入股+福建国资
605376.SH,17,605376,递表港交所+MLCC镍粉+AI算力+业绩增长
688227.SH,17,688227,算力租赁+AI芯片+云计算
688478.SH,17,688478,碳化硅+半导体设备+订单增长
688485.SH,17,688485,硅光+半导体+金刚石+轨交减振降噪
688515.SH,17,688515,定增+高速通信芯片+人形机器人
688598.SH,17,688598,氮化铝+碳陶制动盘+人形机器人
688671.SH,17,688671,数字水利+物联网+AI应用
688729.SH,17,688729,干法刻蚀设备+干法去胶+募投完成+北京国资
