股票代码,market_code,code,涨停原因类别[20260408]
000586.SZ,33,000586,光纤+特种光缆+车载电子+定增推进
600986.SH,17,600986,AI营销+算力租赁+浙江国资
603306.SH,17,603306,800G光模块+CPO+收购恢复审核
001287.SZ,33,001287,存储芯片+英伟达+央企
600126.SH,17,600126,算力租赁+国资云+扭亏+浙江国资
600105.SH,17,600105,光通信+超导带材+可控核聚变+业绩预增
002921.SZ,33,002921,机器人+减速器+精密零件
001267.SZ,33,001267,CPO硅光模块+鄂州投产+园林工程
603203.SH,17,603203,先进封装+AI服务器+精密电子组装
000978.SZ,33,000978,AI文旅+低空经济+扭亏为盈+桂林国资
002042.SZ,33,002042,算力租赁+纺织+预计扭亏
603272.SH,17,603272,墙布龙头+智能家居+控股股东转让股份
300209.SZ,33,300209,服务器租赁+算力+跨境电商
603538.SH,17,603538,减肥药+益生菌产品+创新药+原料药
603813.SH,22,603813,退市博弈+氢能物流+电商物流
002899.SZ,33,002899,健身器材+航天员锻炼+AI眼镜
000534.SZ,33,000534,燃气轮机零部件+低空经济+微生态活菌
000551.SZ,33,000551,年报增长+商业航天+洁净环保+苏州国资
002384.SZ,33,002384,一季度预增+AI PCB+光芯片
002361.SZ,33,002361,商业航天+无人机+聚酯树脂+地方国资
603328.SH,17,603328,PCB+汽车电子+泰国工厂+国企改革
603920.SH,17,603920,PCB+人形机器人+佛山国资
603777.SH,17,603777,健康零食+IP经济+腾讯概念
001389.SZ,33,001389,算力服务器PCB+CPO+年报增长
603045.SH,17,603045,数据中心+电接触材料+业绩预增
600641.SH,17,600641,半导体设备+铋材料+定增35亿
600238.SH,22,600238,
002217.SZ,33,002217,算力租赁+电子纸+福建国资
000919.SZ,33,000919,医药制造+创新药+国企
002512.SZ,33,002512,商业航天+卫星通信+显示主板
600301.SH,17,600301,锡锑锌铟+战略金属+国企改革
605081.SH,22,605081,退市博弈+算力设备+水环境修复
002449.SZ,33,002449,定增过会+MicroLED+车载LED+广东国资
603311.SH,17,603311,新能源车+大飞机+空气过滤
600875.SH,17,600875,燃气轮机+储能+业绩增长+央企
600581.SH,22,600581,此前复牌+特钢+中亚出口+央企
000727.SZ,33,000727,AI显示+MicroLED+央企
600193.SH,22,600193,
002828.SZ,33,002828,
002188.SZ,33,002188,物业+养老+环杭区域
002463.SZ,33,002463,AI服务器PCB+68亿扩产+业绩高增
002902.SZ,33,002902,800G光模块+AI算力+车载磁性元器件
603308.SH,17,603308,燃气轮机+航空发动机+商业航天
603843.SH,22,603843,
002421.SZ,33,002421,AIoT平台+AI应用
603138.SH,17,603138,向量数据库+信创+国产替代
600589.SH,17,600589,算力租赁+IDC+东数西算
002975.SZ,33,002975,液冷服务器+AI服务器测试+年报增长
002528.SZ,33,002528,庭外重组+深圳国资+智慧城市+AI安防
301232.SZ,33,301232,商业航天+风电紧固件+扭亏为盈+回购
003041.SZ,33,003041,探迹科技入主+毛毯龙头
000962.SZ,33,000962,钽铌制品+商业航天+半导体靶材+定增扩产
002916.SZ,33,002916,PCB+AI算力+存储芯片+央企
300679.SZ,33,300679,高速电连接器+PCB+AI服务器+回购
605287.SH,17,605287,AI漫剧+城市更新+扭亏为盈
