code,股票代码,market_code,涨停原因类别[20260525]
600831,600831.SH,17,算力+广电5G+陕西国资
300196,300196.SZ,33,PCB基材+玻纤制品
300868,300868.SZ,33,AI穿戴+新材料+ODM/OEM+并购控股
002056,002056.SZ,33,磁性材料+机器人+AI算力+光伏
000995,000995.SZ,33,白酒+区域强牌+增持完成
603919,603919.SH,17,白酒+全国化扩张+高端产品升级
603203,603203.SH,17,先进封装+TCB设备+光模块+AI芯片
601666,601666.SH,17,煤炭开采加工+主焦煤+河南国资
603272,603272.SH,22,ST博弈+流通盘小+墙布
300939,300939.SZ,33,液晶显示+电子纸+机器人
000926,000926.SZ,33,城中村改造+武汉地产+金属制品+碳中和
600396,600396.SH,17,绿电+火电+央企
000510,000510.SZ,33,石英砂+钽锡钨铌+栗木矿复产+氯碱龙头
603517,603517.SH,22,ST摘帽预期+卤味龙头+冷链物流
600310,600310.SH,17,绿电扩张+海上风电+广西国资
002718,002718.SZ,33,实控人变更+集成吊顶+智能家居
600578,600578.SH,17,风光火储+绿电转型+北京国资
000636,000636.SZ,33,MLCC涨价+AI算力+商业航天+广东国资
002185,002185.SZ,33,30亿扩产+存储芯片+先进封装
002667,002667.SZ,33,控制权拟变更+锂矿+ST反弹
300275,300275.SZ,33,矿山机器人+矿山安全大模型+分红
002407,002407.SZ,33,
600539,600539.SH,17,机器视觉+收购利珀科技+AI应用+锂电订单
002856,002856.SZ,33,国资背景+ST摘帽预期+建筑装饰
600969,600969.SH,17,电力+赞比亚光伏+低空经济+郴州国资
600584,600584.SH,17,先进封装+CPO+央企
688001,688001.SH,17,半导体测试+人形机器人+苹果订单
000518,000518.SZ,33,地天板+摘帽+生物医药+园林绿化
600745,600745.SH,22,80亿诉讼+实控人增持+半导体IDM
002851,002851.SZ,33,英伟达AI电源+算力基础设施+数据中心电源
603008,603008.SH,22,
605168,605168.SH,17,
002927,002927.SZ,33,固态断路器+HVDC+数据中心
002421,002421.SZ,33,液冷服务器+AIoT平台+机器人概念+AI应用
600162,600162.SH,17,广州项目+大湾区住宅+家居商贸
603730,603730.SH,17,人形机器人+特斯拉+遮阳板龙头+北美扩产
000676,000676.SZ,33,
002514,002514.SZ,33,人形机器人+智能制造+亏损收窄
603990,603990.SH,17,康养陪伴机器人+AI医疗+低空救援+国企改革
000509,000509.SZ,33,拟定增+PCB钻针+CCER+湖北国资
603956,603956.SH,17,机器人巡检+河图AI+液冷+智慧水务
000056,000056.SZ,33,退市博弈+债务化解+功率半导体
600889,600889.SH,22,重组完成+商业航天+滚珠丝杠+国企
002432,002432.SZ,33,参与投资月之暗面+参与投资沐曦+AI医疗+家用检测
002947,002947.SZ,33,精密结构件+算力服务器+AI终端+消费电子
002199,002199.SZ,33,碳酸锂+石英晶体+申请撤销退市风险警
002975,002975.SZ,33,AI服务器测试+MLCC设备+液冷
