股票代码,涨停原因类别[20260420],code,market_code
600330.SH,铌酸锂晶体+光模块+商业航天,600330,17
603489.SH,电踏车电机+欧洲去库+年报预增,603489,17
603017.SH,商业航天+低空经济+工程设计,603017,17
002242.SZ,小家电+机器人+太空科技,002242,33
603398.SH,,603398,22
603268.SH,摘帽复牌+船舶制造+VLCC订单,603268,17
600193.SH,,600193,22
603130.SH,革基布龙头+扩产+现金分红,603130,17
000880.SZ,数据中心+船机替代燃料+山东国资,000880,33
002081.SZ,半导体洁净室+建筑装饰+城市更新,002081,33
605168.SH,年报增长+算力租赁+AI营销,605168,17
600103.SH,光模块+林浆纸+福建国资,600103,17
603843.SH,算力租赁+重整预期+ST板块,603843,22
603025.SH,一季报增长+缝制电控龙头+机器人+北京国资,603025,17
003018.SZ,液冷收购+瓶盖龙头+饮料供应链,003018,33
600734.SH,,600734,17
001896.SZ,参股算力+火电+绿电储备+河南国资,001896,33
002803.SZ,AI营销+跨境社交电商+一带一路,002803,33
002692.SZ,电线电缆+参股半导体+超短期融资券发行+国企改革,002692,33
603557.SH,,603557,22
600522.SH,光纤+光模块+海缆+储能扩产,600522,17
