股票代码,code,涨停原因类别[20260529],market_code
002081.SZ,002081,中标2.94亿+洁净室+城市更新+建筑装饰,33
603690.SH,603690,,17
603067.SH,603067,,17
600162.SH,600162,广州地产项目+家居商贸+养老服务+低价股,17
002421.SZ,002421,,33
000509.SZ,000509,,33
002514.SZ,002514,,33
000903.SZ,000903,L4无人配送车+柴油机+昆明国资,33
002214.SZ,002214,,33
002457.SZ,002457,地下管网+两重项目+PCCP龙头,33
605488.SH,605488,,17
000962.SZ,000962,,33
002528.SZ,002528,,33
