涨停原因类别[20260706],code,股票代码,market_code
PVC弹性地板+北美产能+Home Depot供应链,603221,603221.SH,17
,603678,603678.SH,17
,002856,002856.SZ,33
miRNA肿瘤早筛+摘帽预期+医药全产业链,000078,000078.SZ,33
,002842,002842.SZ,33
,301197,301197.SZ,33
控制权变更+COC+聚醚胺+定增募资,603722,603722.SH,17
子公司购买资产+醋酸纤维素+竹基新材料+宜宾国资,600793,600793.SH,17
船舶制造+定增获批+一季报倍增+摘帽,603268,603268.SH,17
一体化油服+加拿大油气+定增终止,002828,002828.SZ,33
,605598,605598.SH,17
湿电子化学品+TMAH显影液+OLED,603931,603931.SH,17
铬盐龙头+溅射靶材+SOFC材料+可转债获批,603067,603067.SH,17
摘帽+地产开发+不动产综合运营,000656,000656.SZ,33
有机硅+电子级HMDS+国企改革,603155,603155.SH,17
数据中心温控+磁悬浮热泵+液冷服务器,301317,301317.SZ,33
地下管网+PCCP龙头+中标,002457,002457.SZ,33
FCBGA封装基板+HBM+半导体转型+浙江国资,002989,002989.SZ,33
地下管网改造+国企改革+一季报增长,601368,601368.SH,17
BBU电源+圆柱锂电池+人形机器人,002245,002245.SZ,33
,600176,600176.SH,17
千斤顶龙头+汽车电子+跨境电商+收购达峰智能,603201,603201.SH,17
,000962,000962.SZ,33
液冷服务器+氢能源+铝制板翅式换热器+海外扩张,603090,603090.SH,17
