market_code,股票代码,code,涨停原因类别[20260820]
33,002667.SZ,002667,要约收购+钨锡铅锌矿+碳酸锂
17,603580.SH,603580,控制权拟变更+轻型输送带+精密金属结构件
17,600683.SH,600683,资产重组+拟购光电子资产+TOD轨道物业+北京国资
33,000523.SZ,000523,代糖+饮料+半年报预增+广州国资
17,688114.SH,688114,基因测序+AI应用+回购
17,600539.SH,600539,半导体先进封装+机器视觉+AI应用+并购重组
33,300601.SZ,300601,mRNA疫苗+创新药+海外业务
33,002412.SZ,002412,创新药+中药+中报预增
17,603036.SH,603036,油气钻采+天然气+轨交业务
33,001333.SZ,001333,聚酯树脂+电子封装材料+产能扩张
33,002333.SZ,002333,
17,603285.SH,603285,电磁线漆+赛克产品+锂电池+拟收购
17,600250.SH,600250,国资整合+旅游+商贸+南京国资
17,688105.SH,688105,医药研发试剂+AD检测+控股股东增持
33,000931.SZ,000931,创新药+精麻镇痛+药品获批
17,601700.SH,601700,特高压+中报预增+国企改革
33,300142.SZ,300142,mRNA疫苗+创新药+海外出口
33,000020.SZ,000020,
17,603801.SH,603801,定制家居+海外业务+整家一体化+高股息
33,300006.SZ,300006,抗肿瘤药物+创新药+广西国资
33,002820.SZ,002820,
33,300841.SZ,300841,mRNA疫苗+半年报增长+狂犬病疫苗
