market_code,涨停原因类别[20260507],code,股票代码
17,算力租赁+AI政务+华为合作,603636,603636.SH
17,并购重组+机器视觉+锂电订单,600539,600539.SH
33,,000078,000078.SZ
22,,600187,600187.SH
33,人形机器人+PEEK材料+精密注塑+新能源汽车,301000,301000.SZ
33,光耦合器+珠海国资+建筑装饰+摘帽申请,002047,002047.SZ
22,预重整+光伏硅片+ST板块,603398,603398.SH
22,,600745,600745.SH
33,6G预研+商业航天+射频滤波器龙头,002194,002194.SZ
33,铝塑膜+固态电池+摘帽预期,002058,002058.SZ
33,半导体洁净室+海外EPC+城市更新,002081,002081.SZ
22,,603008,603008.SH
33,预重整+数字环卫,000826,000826.SZ
33,人形机器人+电机定转子+低空经济,002664,002664.SZ
17,625MHz晶振+光模块+人形机器人,603738,603738.SH
22,一季报扭亏+智慧物流+车联网+央企,600476,600476.SH
17,算力租赁+英伟达合作+AI营销,605168,605168.SH
17,商业航天+钙钛矿电池+一带一路,605598,605598.SH
17,半导体材料+光刻胶+显影液国产替代+客户拓展,603931,603931.SH
17,铬盐龙头+储能+锂电池,603067,603067.SH
33,,002109,002109.SZ
22,,603843,603843.SH
33,算力+家具智造,002757,002757.SZ
33,,000639,000639.SZ
33,,002514,002514.SZ
33,显示器+工业母机+CCER+湖北国资,000509,000509.SZ
33,,000056,000056.SZ
33,储能熔断器+光伏+风电,002729,002729.SZ
33,电网设备+储能出海+中标大单,002350,002350.SZ
22,,600080,600080.SH
17,智能家居+木地板+控制权转让,603226,603226.SH
17,光通信+CPO+微光学,688167,688167.SH
33,拟收购芬能+复牌+工业自动化,300807,300807.SZ
33,探迹科技入主+要约收购完成+毛毯龙头,003041,003041.SZ
17,蒙电入苏+绿电+央企,601991,601991.SH
22,童装童鞋+三胎概念+ST板块+复牌,603557,603557.SH
17,光纤涨价+算力基建+储能扩产,600522,600522.SH
