涨停原因类别[20260522],code,股票代码,market_code
碳酸锂+石英晶体+申请撤销退市风险警,002199,002199.SZ,33
圆柱电池+人形机器人+马来西亚产能+分红实施,002245,002245.SZ,33
申请撤销退市风险+低空经济+军工射频,002253,002253.SZ,33
液冷服务器+机器人+定增扩产,002272,002272.SZ,33
AI光学+CPO硅透镜+AR眼镜,002273,002273.SZ,33
液冷服务器+AIoT平台+机器人概念+AI应用,002421,002421.SZ,33
生态园林+不减持+河南国资,002431,002431.SZ,33
参与投资月之暗面+参与投资沐曦+AI医疗+家用检测,002432,002432.SZ,33
炭黑龙头+绿色降碳+董事长增持,002442,002442.SZ,33
光气资源+光刻胶+收购莱恩光电+精细化工,002453,002453.SZ,33
AI服务器PCB+产能升级扩容+一季度业绩高增,002463,002463.SZ,33
氨氢新能源+小分子功能肥+ST摘帽预期,002496,002496.SZ,33
汽车铝型材+步步高纾困+ST摘帽预期,002501,002501.SZ,33
,002514,002514.SZ,33
PCB铜箔+黄金采选+Q1业绩大增,002552,002552.SZ,33
MLCC离型膜+复合铜箔+扭亏为盈,002585,002585.SZ,33
特高压中标+瓷绝缘子龙头+沙特基地,002606,002606.SZ,33
,002620,002620.SZ,33
,002629,002629.SZ,33
美年大健康入主+预重整推进+无缝服装,002634,002634.SZ,33
控制权拟变更+锂矿+ST反弹,002667,002667.SZ,33
,002717,002717.SZ,33
暂不推进转让中石光芯挂牌工作+磷化铟+铝轮毂出口,002725,002725.SZ,33
AIDC先锋奖+算力UPS+氢能,002733,002733.SZ,33
PCB化学品+股权激励,002741,002741.SZ,33
摘帽申请+母婴用品+医美并表,002762,002762.SZ,33
此前实控人变更+SiC控制器+新能源重卡+无人驾驶,002806,002806.SZ,33
人形机器人+800V高压连接器+换向器龙头,002823,002823.SZ,33
米格列醇片+姚劲波入主+业绩增长,002826,002826.SZ,33
,002856,002856.SZ,33
MLCC离型膜+PET铜箔+一季度业绩,002859,002859.SZ,33
电源类产品+磁性元器件+数据中心+储能,002885,002885.SZ,33
,002888,002888.SZ,33
800G高速连接器+华为链+CPO+液冷,002897,002897.SZ,33
PCB+AI算力+央企,002916,002916.SZ,33
优必选入主+机器人概念+园林机械+汽车零部件,002931,002931.SZ,33
PCB龙头+光模块+AI服务器+人形机器人,002938,002938.SZ,33
,002940,002940.SZ,33
AI服务器测试+MLCC设备+液冷,002975,002975.SZ,33
光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表,002980,002980.SZ,33
AI服务器电源+机器人电源+分红,002993,002993.SZ,33
收购中科西光+商业航天+特高压玻璃绝缘子,300069,300069.SZ,33
超级电容炭+AI算力上游+新能源碳材料,300174,300174.SZ,33
CVD金刚石散热+PCD微钻钻头+超硬材料,300179,300179.SZ,33
PCB概念+CSR增韧剂+工程塑料助剂,300243,300243.SZ,33
机器人+电机+股权激励,300907,300907.SZ,33
半导体测试+MLCC+华为合作,301013,301013.SZ,33
光通信设备+半导体设备+AI算力,301312,301312.SZ,33
PCB钻针+AI服务器钻针+厦芝精密并购,301362,301362.SZ,33
PCB钻针+AI算力+业绩高增,301377,301377.SZ,33
塑木外销+募投产能+退税到账,301588,301588.SZ,33
AI PCB+PCB扩产+量子计算,301628,301628.SZ,33
氟制冷剂涨价+液冷服务器+国企,600160,600160.SH,17
金刚石散热+培育钻石+半导体+重大突破,600172,600172.SH,17
,600180,600180.SH,22
覆铜板+AI服务器+业绩高增,600183,600183.SH,17
算力到货+半导体材料+味精龙头,600186,600186.SH,17
粮食深加工+黄原胶投产+制糖+参股券商,600191,600191.SH,17
算力租赁+抖音概念+建筑工程,600234,600234.SH,17
,600243,600243.SH,22
商用载客车+氢能源,600303,600303.SH,17
商业航天+航空电机+湖南国资,600416,600416.SH,17
锗资源+铅锌龙头+央企整合,600497,600497.SH,17
机器人+创新药+房地产,600503,600503.SH,17
保健品+宠物新品+益生菌+养老护理,600530,600530.SH,17
机器视觉+AI应用+锂电订单+收购利珀科技,600539,600539.SH,17
玻纤设备+华为合作+纺织机械+减亏,600545,600545.SH,17
薄膜电容器+AI硬件+机器人+新能源,600563,600563.SH,17
光纤上游+人形机器人+有机硅+草甘膦,600596,600596.SH,17
AI算力PCB+光模块+珠海国资,600601,600601.SH,17
间接投资长江存储+智能网联+上海出租车,600611,600611.SH,17
拟收购奇芯光电+TOD轨道物业+北京国资,600683,600683.SH,17
碳酸锶+硫磺涨价+30万吨天青石项目+国家电投入主,600714,600714.SH,17
热电联产+大连国资+一季报增长,600719,600719.SH,17
,600759,600759.SH,22
铝电子新材料+半导体上游+氧化铝项目+一季度净利增,600888,600888.SH,17
申请撤销退市风险警示+短剧+唐山国资,600892,600892.SH,22
高速树脂+AI服务器+商业航天+一季报大增,601208,601208.SH,17
水泥龙头+商业航天+北京国资,601992,601992.SH,17
皮鞋+C2M+一季报扭亏,603001,603001.SH,17
ST博弈+日用玻璃+委托贷款,603021,603021.SH,22
AI服务器电极箔+全球市占率第一+业绩高增,603115,603115.SH,17
覆铜板+AI算力+定增扩产,603186,603186.SH,17
LNG运输+港口业务+一季报翻倍,603223,603223.SH,17
AI PCB+汽车PCB+800G光模块,603228,603228.SH,17
量子科技+抗量子密码,603232,603232.SH,17
电子布+PCB+H股发行+业绩暴增,603256,603256.SH,17
申请撤销退市风险警示+无人机+低空经济,603261,603261.SH,22
MLCC+商业航天+军工芯片,603267,603267.SH,17
液冷服务器+核电冷却塔+订单高增,603269,603269.SH,17
氟化工龙头+制冷剂+PVDF+六氟磷酸锂,603379,603379.SH,17
创新药+中药+开喉剑,603439,603439.SH,17
PCB扩产+1.6T光模块+存储芯片,603459,603459.SH,17
碳化硅+股权转让进展+一季报增长,603595,603595.SH,22
投资GPU公司+家居用品+出口+越南产能,603661,603661.SH,17
半导体产业链+核级锆+锆铪分离,603663,603663.SH,17
MLCC+商业航天+军工电子,603678,603678.SH,17
AI语料+微短剧+长沙国资+摘帽预期,603721,603721.SH,22
,603779,603779.SH,17
PCB并购+光刻机+铜箔设备,603800,603800.SH,17
PCB感光干膜+光伏胶膜+员工持股,603806,603806.SH,17
精细化工+盐湖提锂+锂电回收,603867,603867.SH,17
液冷并购+人形机器人+镁合金结构件+AIPC,603890,603890.SH,17
超跌反弹+控制权变更+汽车零部件,603922,603922.SH,22
半导体材料+光刻胶+国产替代,603931,603931.SH,17
800G光模块PCB+AMB陶瓷衬板+AI算力,603936,603936.SH,17
机器人+AI应用+汽车电子,603960,603960.SH,17
药用玻璃管制瓶+医美包装+年度分红,603976,603976.SH,17
AI算力上游+AISHI产品+铝电解电容+新能源,603989,603989.SH,17
电子布+玻纤+风电纱+山东国资,605006,605006.SH,17
电容薄膜+塑胶复合材料+露营经济,605180,605180.SH,17
,605336,605336.SH,22
电子级硅烷+含硫硅烷+半导体材料+泰国扩产,605366,605366.SH,17
MLCC镍粉+扩产640吨+光伏+一季报高增,605376,605376.SH,17
造纸+数码喷墨纸+热电联产+绿色包装,605500,605500.SH,17
培育钻石+芯片散热+热电联产,605580,605580.SH,17
PCB+可剥铜+先进封装+电磁屏蔽膜,688020,688020.SH,17
MLCC扩产+陶瓷热沉+消费电子,688260,688260.SH,17
射频前端芯片+5G射频+三星订单+Phase8L量产,688512,688512.SH,17
PCB化学品+半导体电镀液+先进封装,688603,688603.SH,17
