涨停原因类别[20260416],market_code,股票代码,code
T客户+PCB+储能+泰国基地,17,603920.SH,603920
铅酸电池+西部大开发,17,600847.SH,600847
拟剥离地产+TOD轨道物业+北京国资,17,600683.SH,600683
黄金+稀散金属+江西铜业控股+国企,33,002237.SZ,002237
航空发动机+C919+煤炭+海南自贸区,33,000571.SZ,000571
退市博弈+算力设备+水环境修复,22,605081.SH,605081
,33,002808.SZ,002808
算力租赁+智慧城市+预计扭亏,33,301396.SZ,301396
算力租赁+AI一体机+国产芯片,17,688227.SH,688227
燃气轮机+储能+业绩增长+央企,17,600875.SH,600875
摘帽预期+VLCC订单+船舶制造,22,603268.SH,603268
一季报预增+冰雪旅游+IP经济,33,002033.SZ,002033
手机售后+控制权变更+苹果授权+闪电蜂抖音,33,300736.SZ,300736
光伏边框+车载摄像头壳体+检测业务+越南设厂,33,002333.SZ,002333
,22,603843.SH,603843
液冷服务器+AIoT平台+AI应用,33,002421.SZ,002421
算力租赁+阿里云+AI智能体+家具智造,33,002757.SZ,002757
钛白粉涨价+珠光材料+一季报预增,17,603826.SH,603826
算力租赁+转债强赎+染料龙头,33,300798.SZ,300798
盐湖提锂+锂矿布局+金属镍+固废回收,33,000546.SZ,000546
MLCC离型膜+锂电池材料+AI芯片材料,33,002859.SZ,002859
算电协同+东数西算+扭亏为盈+央企,33,000815.SZ,000815
探迹科技入主+毛毯龙头+要约收购,33,003041.SZ,003041
庭外重组+深圳国资+智慧城市+AI安防,33,002528.SZ,002528
拟投GPU+钙钛矿设备+纸包装,17,603687.SH,603687
人形机器人+PCB+数控机床+预增,33,301603.SZ,301603
AI漫剧+城市更新+扭亏为盈,17,605287.SH,605287
