market_code,涨停原因类别[20260513],股票代码,code
33,ST板块+油气服务+新疆国资+连续涨停,002207.SZ,002207
33,液冷+核电+氦气压缩机+拟收购,000811.SZ,000811
33,大缸径曲轴+数据中心+机器人+一季报增长,002283.SZ,002283
17,牛散举牌+硅光芯片+消费电子,603052.SH,603052
33,存储芯片+湖北国资,002654.SZ,002654
17,淄博国资入主+复牌+葡萄酒,603779.SH,603779
22,超跌反弹+汽车零部件+控制权不稳,603922.SH,603922
17,IGBT+AI电源+车规级SiC+低空飞行器,603290.SH,603290
22,ST反弹+涂装业务+重整预期,603378.SH,603378
33,控制权变更+扭亏+男装品牌+宝鸡国资,002569.SZ,002569
22,低空经济+无人机+航空装备,603261.SH,603261
22,,600759.SH,600759
17,保健品+宠物新品+益生菌+养老护理,600530.SH,600530
17,玻璃基板+ITC胜诉+国企改革,600707.SH,600707
17,储能+风电设备+氢能,603063.SH,603063
33,,000677.SZ,000677
17,800G光模块+AI算力+AMB陶瓷衬板,603936.SH,603936
33,铟靶材+一季度扭亏+摘帽预期,000711.SZ,000711
17,H股回购+功率半导体+智能电网大功率模块,688187.SH,688187
33,AI算力+存储芯片+深圳国资+出海,002183.SZ,002183
33,有机硅+一季度扭亏+ST摘帽预期,002211.SZ,002211
17,PCB业务+半导体检测+人形机器人,688003.SH,688003
33,线控转向+无人驾驶+定点车企,002703.SZ,002703
17,催化材料+芯片+光刻胶,603120.SH,603120
17,海南自贸港+低空物流+跨境电商,603535.SH,603535
33,PCB龙头+AI服务器+人形机器人+淮安HD园区动工,002938.SZ,002938
22,,600370.SH,600370
33,光纤+电缆+实控人中国华能+央企,000720.SZ,000720
33,算力租赁+5G消息+通信运维+亏损收窄,000889.SZ,000889
17,热镀锌板+南通项目+一带一路,605158.SH,605158
33,,301139.SZ,301139
22,,601010.SH,601010
33,算力租赁+Token工厂+通信网络管维,002929.SZ,002929
151,机器人+PEEK材料+改性塑料,920469.BJ,920469
17,免税重组+海南国资+客运龙头,603069.SH,603069
22,整改计划+ST博弈+预制菜,600965.SH,600965
17,低空经济+华为超充+智慧路灯+储能,603679.SH,603679
17,乘用车拓展+精密金属零部件+重大资产重组+国企改革,603023.SH,603023
17,覆铜板材料+成核剂+国产替代+业绩高增,688625.SH,688625
33,油服工程+储能电站+光伏EPC,002629.SZ,002629
33,电源类产品+磁性元器件+数据中心+储能,002885.SZ,002885
33,先进陶瓷布局+建筑陶瓷+地产链,002918.SZ,002918
17,先进封装+TCB设备+光模块+AI芯片,603203.SH,603203
33,核电中标+可控核聚变+岩土工程,003001.SZ,003001
22,ST板块+墙布+流通盘小,603272.SH,603272
33,电源产品+机器人+墨西哥扩产,002782.SZ,002782
17,绿电+火电+央企,600396.SH,600396
22,拟收购万德溙+铜缆高速连接+重整预期+回购延期,600337.SH,600337
22,锆钛矿+陶瓷+摘帽预期,603838.SH,603838
33,股东转让+短剧分销+移动信息服务,300959.SZ,300959
17,风光火储+绿电转型+北京国资,600578.SH,600578
33,拟收购神导科技+复牌+军工导航,300965.SZ,300965
33,,002667.SZ,002667
33,增资CPU+家电复合材料+年报增长,002290.SZ,002290
33,卫星通信+商业航天+一季报扭亏,002512.SZ,002512
33,数据中心变压器+北美订单+海外产能,002922.SZ,002922
33,储能热管理+宁德时代+墨西哥扩产+汽车热管理,002454.SZ,002454
33,,000078.SZ,000078
33,国资背景+建筑装饰+ST摘帽预期,002856.SZ,002856
17,数据中心+电气机柜+储能+沙特设厂,603070.SH,603070
33,间接持有长鑫科技+房地产+合肥国资,002208.SZ,002208
33,钨全产业链+光伏钨丝+一季报大增,002842.SZ,002842
17,环氧树脂涨价+减亏+央企,600500.SH,600500
17,期货经纪+境外清算+一季报高增,603093.SH,603093
33,磷化铟+算力租赁+商业航天,000925.SZ,000925
33,算力租赁+商业航天+OSS,003007.SZ,003007
33,碳监测+CCER系统过审+商业航天,002658.SZ,002658
22,,600745.SH,600745
33,绿色电力+福建国资,000993.SZ,000993
33,英伟达AI电源+算力基础设施+储能,002851.SZ,002851
33,发电机组+数据中心+一季报增长,000880.SZ,000880
17,PI薄膜+AI服务器上游+商业航天+国产替代,688323.SH,688323
17,产品涨价+锂电材料+环保助剂,603285.SH,603285
17,算力租赁+英伟达合作+AI营销,605168.SH,605168
33,数据中心电源+HVDC+宁德时代入股,002364.SZ,002364
17,药用糖+食糖龙头+央企,600737.SH,600737
22,,603843.SH,603843
33,玉米油+境外重整+ST反弹,000639.SZ,000639
33,人形机器人+光伏+智能制造,002514.SZ,002514
17,燃气轮机+船用柴油机+央企,600482.SH,600482
33,碳酸锂+石英晶体+申请撤销退市风险警,002199.SZ,002199
33,算力合同+公路养护+机器人,300210.SZ,300210
33,PI膜+锂电隔膜设备+机器人,001223.SZ,001223
33,庭外重组+深圳国资+智慧城市+AI安防,002528.SZ,002528
33,装配式建筑+建筑节能+3D打印,002375.SZ,002375
17,蒙电入苏+绿电直供+央企,601991.SH,601991
