code,股票代码,market_code,涨停原因类别[20260604]
002951,002951.SZ,33,超级电容+间接投资光纤公司+储能电站
000793,000793.SZ,33,重整获批+海南国资入主+文旅传媒
603330,603330.SH,17,光模块透镜固定用胶+电子胶+半导体
603516,603516.SH,17,自研ASIC芯片+液冷服务器+参投沐曦+一季报扭亏
002824,002824.SZ,33,折叠屏+电池结构件+一季报增长
600367,600367.SH,17,碳酸锶涨价+玻璃基板上游+MLCC上游+青岛国资
600667,600667.SH,17,存储芯片+SK海力士+先进封装+无锡国资
002866,002866.SZ,33,
301468,301468.SZ,33,HRSG+燃机+越南基地+海外收入占比过半
600537,600537.SH,22,
600237,600237.SH,17,薄膜电容器+PET铜箔+国企
001309,001309.SZ,33,存储芯片+企业级SSD+一季报增长
000595,000595.SZ,33,
603610,603610.SH,17,脑机接口+智能电动床+协议续签
002971,002971.SZ,33,电子特气+硅基新材料
301123,301123.SZ,33,AI液冷散热+高速连接器+扭亏为盈
002323,002323.SZ,33,
002484,002484.SZ,33,超级电容+AI服务器电源+人形机器人+国企改革
002207,002207.SZ,33,
000536,000536.SZ,33,显示面板+车载显示+福建国资+被动减持处置
600226,600226.SH,17,股东协议转让+PCB铜箔+锂电铜箔
001278,001278.SZ,33,
688668,688668.SH,17,铜缆高速连接+224G连接器+液冷散热+可转债获批
002305,002305.SZ,33,
600868,600868.SH,17,锑银矿+水电+一季报营收增长
603005,603005.SH,17,TSV封装+先进封装+车规CIS+分拆上市
600759,600759.SH,22,
600293,600293.SH,17,电子玻璃+高端玻璃转型+硅材料基地+宜昌国资
600255,600255.SH,17,高速铜连接+铜合金板带+一季报增长+国资
603435,603435.SH,17,BOPP电工膜+电容膜+复合铜箔+次新股
000820,000820.SZ,33,
000677,000677.SZ,33,
002590,002590.SZ,33,机器人+智能驾驶+底盘系统
002051,002051.SZ,33,数据中心+中东重建+国际工程+一带一路
002806,002806.SZ,33,超级电容用材料+铝箔材+SiC控制器+实控人变更
600370,600370.SH,22,
600246,600246.SH,17,高速交换芯片+PCIe5.0芯片+存储芯片
002395,002395.SZ,33,光学级PMMA+足球革+超跌反弹
002787,002787.SZ,33,参股宇树科技+半导体设备+一季报增长
002717,002717.SZ,33,罚单落地+面值退市博弈+生态文旅+ST板块
601010,601010.SH,22,回购进展+百货零售+终止控制权变更
600491,600491.SH,22,城市更新+零碳园区+绿色建筑
000725,000725.SZ,33,玻璃基封装载板+康宁合作+回购注销
002570,002570.SZ,33,国资入主+婴配粉+全家营养
001376,001376.SZ,33,定增过会+热电联产+安哥拉电解铝
000520,000520.SZ,33,干散货航运+镍矿运输+一季度扭亏
600696,600696.SH,21,股东增持+退市整理+白酒
601666,601666.SH,17,主焦煤龙头+煤炭+河南国资
603272,603272.SH,22,
603135,603135.SH,17,机器人+出海+新增订单+到期赎回
603920,603920.SH,17,AI PCB+人形机器人+CPO
600828,600828.SH,17,百货零售+商业不动产REITs+商管转型
000504,000504.SZ,33,
000911,000911.SZ,33,
002667,002667.SZ,33,控制权拟变更+一季度扭亏+锂电+*ST
920161,920161.BJ,151,BOPP薄膜+薄膜电容+北交所次新
000736,000736.SZ,33,
688303,688303.SH,17,拟60亿元布局AIDC配电+多晶硅
002856,002856.SZ,33,
000078,000078.SZ,33,
002072,002072.SZ,33,煤炭贸易+司法拍卖+并购重组预期
002630,002630.SZ,33,环保锅炉+垃圾焚烧发电+ST板块
002981,002981.SZ,33,机器人概念+AI眼镜+电声产品
600745,600745.SH,22,
300897,300897.SZ,33,股权转让+智慧水务+AI应用
600688,600688.SH,17,T1000级碳纤维+石油化工+央企
600403,600403.SH,17,煤炭+河南国资重组+国企改革
603067,603067.SH,17,铬盐龙头+SOFC+可转债获批
603843,603843.SH,22,
000639,000639.SZ,33,境外子公司重整完成+股份将被司法变卖+玉米油
002514,002514.SZ,33,
600482,600482.SH,17,燃气轮机+船用柴油机+中船系
000056,000056.SZ,33,债务化解预期+功率半导体+双主业
000821,000821.SZ,33,回购进展+钙钛矿设备+机器人
002199,002199.SZ,33,
605358,605358.SH,17,硅片订单饱满+VCSEL芯片+12英寸硅片+光通信
000733,000733.SZ,33,MLCC+超级电容+商业航天+央企
002520,002520.SZ,33,人形机器人+数控螺纹磨床+高端机床+一季报扭亏
001896,001896.SZ,33,参股算力+火电+河南国资
603090,603090.SH,17,液冷服务器+氢能源+铝制板翅式换热器+海外扩张
