股票代码,market_code,涨停原因类别[20260817],code
002436.SZ,33,ABF载板+CSP封装基板+存储芯片+光模块,002436
688503.SH,17,空白掩膜版+半导体材料+光伏银浆,688503
603010.SH,17,PCB概念+磷系阻燃剂+泰国基地,603010
000811.SZ,33,液冷服务器+数据中心(AIDC)+烟台国资,000811
603458.SH,17,数据中心设计+工程咨询+北斗技术+无人驾驶,603458
002437.SZ,33,创新药+神经退行性疾病+仿制药龙头,002437
603916.SH,17,AI应用+混凝土外加剂龙头+城市更新,603916
603880.SH,17,医疗器械+创口贴+协议转让,603880
603936.SH,17,AI服务器PCB+800G光模块+陶瓷衬板,603936
000029.SZ,33,房地产+减持完毕+深圳国企改革,000029
688003.SH,17,半导体量检测+CPO检测+英伟达产业链,688003
603095.SH,17,AI验布机+高端装备+纺织机械,603095
001358.SZ,33,光刻胶+电子化学品+股份回购,001358
603011.SH,17,可控核聚变+PCB层压机+高端成形机床,603011
002787.SZ,33,半导体设备+光模块+半年报增长,002787
603002.SH,17,高速覆铜板+GBF增层膜+半年报预增,603002
001229.SZ,33,AI视觉+边缘计算+光纤KVMS+商业航天,001229
600613.SH,17,化学制药+抗肿瘤+感冒止咳,600613
002165.SZ,33,环氧丙烷技改+聚氨酯+异丙醇胺,002165
002469.SZ,33,正丙醇满产+硫磺回收+储能工程,002469
301626.SZ,33,液冷服务器+拟收购中冷科技+天脉转债上市,301626
600491.SH,22,重整+要约收购+建筑总包,600491
002578.SZ,33,铝型材+液冷服务器用铝型材+国企改革,002578
600965.SH,22,预制菜+粮食概念+肉牛养殖+ST整改,600965
000026.SZ,33,设立长空事业部+航空航天表+机器人+激光器,000026
603721.SH,17,AI语料+长沙国资+摘帽,603721
603530.SH,17,电网设备出海+特高压+半年报增长,603530
000520.SZ,33,干散货航运+统一大市场+一季度扭亏,000520
002289.SZ,33,算力租赁+IDC+中报预计扭亏,002289
603389.SH,17,培育钻石+锆钛矿选矿+家居,603389
603089.SH,17,机器人概念+汽车减震器龙头+定增完成,603089
601366.SH,17,零售连锁+食品工业+预制菜+智慧物流,601366
603773.SH,17,CPO+先进封装+玻璃基Mini LED,603773
688677.SH,17,算力光器件+医用内窥镜+股份回购,688677
002448.SZ,33,人形机器人+AIDC+气缸套龙头+中报预增,002448
002581.SZ,33,创新药+神经生长因子+中药饮片+医药流通,002581
002172.SZ,33,生肖炒作+脑机接口+医疗服务+国企改革,002172
000551.SZ,33,半导体洁净+商业航天+苏州国资,000551
002907.SZ,33,临床试验批准+青光眼+创新药+中成药,002907
603395.SH,17,新疆煤化工项目+复合肥+央企,603395
603580.SH,17,控制权拟变更+轻型输送带+精密金属结构件,603580
600330.SH,17,光模块上游+铌酸锂+软磁材料+AI算力,600330
300345.SZ,33,半导体硅材料+太空光伏+股权激励,300345
605179.SH,17,乳品+烘焙+谐音炒作,605179
001356.SZ,33,可降解塑料+塑料餐饮具+海外产能,001356
002081.SZ,33,洁净室+参建数据中心+海外业务+建筑装饰龙头,002081
603285.SH,17,电磁线漆+赛克产品+锂电池+拟收购,603285
603067.SH,17,可转债上市+金属铬+溅射靶材+铬盐龙头,603067
601700.SH,17,特高压+中报预增+国企改革,601700
605180.SH,17,电容薄膜+塑胶复合材料+露营经济,605180
301127.SZ,33,算力+储能+环保+能源,301127
600459.SH,17,半导体材料+贵金属回收+铂类靶向抗癌药+云南国资,600459
603102.SH,17,宠物经济+营养保健食品+半年报营收增长,603102
002820.SZ,33,中华老字号+休闲食品+国企改革,002820
600222.SH,17,中药+CRO+国企改革,600222
603186.SH,17,覆铜板+AI算力+定增受理+半年报预增,603186
300679.SZ,33,高速线缆+PCB+光器件+人形机器人,300679
600281.SH,17,贵金属回收+铂族金属+资产剥离+山西国资,600281
