market_code,涨停原因类别[20260617],股票代码,code
33,中核集团旗下+核电阀门+控股股东增持,000777.SZ,000777
22,ST板块+固态电池+转型并购,603429.SH,603429
151,中字头+央企+纺织品检测,920122.BJ,920122
33,人形机器人+高温合金叶片+年报分红,001282.SZ,001282
33,,000911.SZ,000911
33,AI算力PCB+券商首次覆盖买入,300903.SZ,300903
33,,002667.SZ,002667
22,摘帽进展+问询函延期+年报扭亏,603580.SH,603580
17,药用玻璃包装+医美包装+股权转让,603976.SH,603976
17,海峡通航催化+VLCC运力扩张+一季报增长,600026.SH,600026
33,百货零售+大连地区+电商,000679.SZ,000679
33,,002856.SZ,002856
22,,600187.SH,600187
33,机器人+液冷超充+轨交中标,300351.SZ,300351
17,智能割草机器人+无人割草机+轻量化+比亚迪概念,600615.SH,600615
22,,600745.SH,600745
33,终止定增+加拿大油气+一体化油服,002828.SZ,002828
17,锂电池+电磁线漆+AI算力+商业航天,603285.SH,603285
17,PCB概念+PI薄膜+商业航天,688323.SH,688323
17,半导体设备+高温SPM+订单增长+H股上市,688082.SH,688082
33,,002514.SZ,002514
22,股权拍卖+人形机器人+重整预期+锂电池,603959.SH,603959
33,丝绸全产业链+品牌升级+外贸增长,002404.SZ,002404
33,FCBGA封装基板+HBM+半导体转型+浙江国资,002989.SZ,002989
17,电子布涨价+PCB+央企,600176.SH,600176
33,PCB概念+PI膜+锂电池隔膜设备,001223.SZ,001223
17,覆铜板+AI算力+定增扩产,603186.SH,603186
33,PCB+封装基板+拟定增+央企,002916.SZ,002916
22,,603557.SH,603557
17,玻璃基板+先进封装+三星供应链,688079.SH,688079
33,硬质合金棒材+PCB钻针+半导体封装+一季报扭亏,300283.SZ,300283
