股票代码,market_code,code,涨停原因类别[20260511]
603828.SH,22,603828,控制权变更+光伏建筑一体化+装配化装修
002431.SZ,33,002431,
605189.SH,17,605189,人形机器人+PEEK材料+筒子纱龙头+业绩暴增
600818.SH,22,600818,
000632.SZ,33,000632,ST反弹+国资背景+跨境电商
600078.SH,17,600078,磷化工+新材料+业绩扭亏
300449.SZ,33,300449,GPU大单+算力+数字水印
603499.SH,17,603499,存储芯片+烟包高增+包装印刷
688766.SH,17,688766,存储芯片+2D NAND收购+业绩高增
600678.SH,22,600678,
002529.SZ,33,002529,ST摘帽预期+汽车轻量化+光伏组件
002691.SZ,33,002691,机器人+煤矿装备+ST板块
600172.SH,17,600172,重大突破+金刚石散热+培育钻石+半导体
603459.SH,17,603459,PCB扩产+1.6T光模块+商业航天
600854.SH,17,600854,空调+房地产+营收增长
002198.SZ,33,002198,
000672.SZ,33,000672,半导体封装基板+创投+水泥
600537.SH,22,600537,预重整协议+TOPCon电池+ST板块
605006.SH,17,605006,玻纤涨价+风电纱+山东国资
000712.SZ,33,000712,参股券商+东莞证券IPO+算力租赁
002943.SZ,33,002943,半导体设备+碳化硅+光伏+年报扭亏
002623.SZ,33,002623,光伏玻璃+特斯拉+钙钛矿+阿联酋项目
002971.SZ,33,002971,电子特气+硅基新材料+国产替代
002323.SZ,33,002323,
600730.SH,22,600730,ST投机+AI教育+国资背景
688545.SH,17,688545,存储芯片+电子化学品+国企
300616.SZ,33,300616,全屋板式家具+定制家居+AI设计+海外扩张
002207.SZ,33,002207,ST板块+油气服务+新疆国资
300302.SZ,33,300302,存储芯片+AI智算+业绩暴增
601718.SH,22,601718,
000811.SZ,33,000811,拟收购+液冷+核电+氦气压缩机
688350.SH,17,688350,盐湖提锂+氢能源+一季报大增
600769.SH,17,600769,武汉新城+供水+国企
000010.SZ,33,000010,庭外重组+算力+市政基建
002396.SZ,33,002396,交换机+CPO+算力+福建国资
002168.SZ,33,002168,摘星复牌+生物医药+地方国资
002334.SZ,33,002334,液冷+机器人+新能源
603922.SH,22,603922,
002552.SZ,33,002552,PCB铜箔+黄金采选+Q1业绩大增
600198.SH,17,600198,低轨卫星+安全芯片+央企
002569.SZ,33,002569,控制权变更+扭亏+男装品牌+宝鸡国资
688551.SH,17,688551,AI服务器电源+功率半导体测试+氢能测试系统
600759.SH,22,600759,
603269.SH,17,603269,液冷服务器+核电冷却塔+订单高增
600530.SH,17,600530,保健品+宠物新品+益生菌+养老护理
603303.SH,17,603303,车载照明+车灯控制器+汽车电子
000677.SZ,33,000677,
603936.SH,17,603936,800G光模块+AI算力+AMB陶瓷衬板
920699.BJ,151,920699,服务器滑轨+算力+专精特新
000711.SZ,33,000711,铟靶材+一季度扭亏+摘帽预期
000029.SZ,33,000029,房地产+深圳国资+新房成交激增
002693.SZ,33,002693,多肽出口+申请撤销退市风险警示+扭亏为盈
002726.SZ,33,002726,
600601.SH,17,600601,PCB+光模块+AI扩建+珠海国资
603189.SH,22,603189,AI应用+数字孪生+低空经济
600370.SH,22,600370,
603275.SH,17,603275,机器人+减速器+伺服系统+一季报增长
000425.SZ,33,000425,挖掘机涨价+新能源+矿山机械+国企改革
605090.SH,17,605090,商业航天+氦气扩产+清洁能源+回购注销
600491.SH,22,600491,
300604.SZ,33,300604,存储芯片测试+半导体设备+国产替代+业绩大增
002102.SZ,33,002102,维生素E+回购注销+国企
600184.SH,17,600184,光纤+CPO+军工装备+央企
002918.SZ,33,002918,建筑陶瓷+数据中心+股份注销
002289.SZ,33,002289,摘帽申请+一季报暴增+IDC并表+算力租赁
603718.SH,22,603718,口腔连锁+IVD+ST板块
000739.SZ,33,000739,创新药+CDMO+绿色工艺
603773.SH,17,603773,玻璃基板+CPO+MicroLED+商业航天
002581.SZ,33,002581,
603272.SH,22,603272,*ST+墙布+流通盘小+回购
000668.SZ,33,000668,摘帽预期+跨境物流+房地产去化
001221.SZ,33,001221,家居五金+独角兽基地+国产替代+次新股
603538.SH,17,603538,
600396.SH,17,600396,绿电+央企+火电
002281.SZ,33,002281,CPO+算力光模块+央企
600337.SH,22,600337,拟收购万德溙+铜缆高速连接+重整预期+回购延期
003004.SZ,33,003004,摘帽申请+安消一体化+智能安防
002718.SZ,33,002718,实控人变更+集成吊顶+智能家居
601609.SH,17,601609,稀土永磁+人形机器人+AI散热+铜加工龙头
001389.SZ,33,001389,算力服务器PCB+泰国产能释放+一季度高增
603045.SH,17,603045,风光储能+数据中心+电接触材料+业绩大增
002030.SZ,33,002030,汉坦病毒检测+分子诊断+广州国资
000636.SZ,33,000636,MLCC涨价+AI算力+商业航天+广东国资
002667.SZ,33,002667,
603580.SH,22,603580,年报扭亏+轻型输送带+新能源电池配件
600683.SH,17,600683,TOD轨道物业+拟剥离地产+北京国资
002512.SZ,33,002512,卫星通信+商业航天+一季报扭亏
002124.SZ,33,002124,猪肉+预重整+销量增长
603150.SH,17,603150,稀土永磁+钐铁氮+冰箱门封
002865.SZ,33,002865,太空光伏+TOPCon电池+外销
000078.SZ,33,000078,
002856.SZ,33,002856,国资背景+建筑装饰+ST摘帽预期
600330.SH,17,600330,铌酸锂量产+光模块+商业航天
002179.SZ,33,002179,商业航天+AI算力+高管增持+央企
600584.SH,17,600584,先进封装+存储封测+CPO+央企
688189.SH,17,688189,创新药+帕拉米韦+湖南国资
603398.SH,22,603398,预重整+光伏硅片+ST板块
920125.BJ,151,920125,先进封装+果链+一季报增长+北交所次新股
600745.SH,22,600745,
300736.SZ,33,300736,控制权变更+苹果授权+抖音电商
603008.SH,22,603008,
000062.SZ,33,000062,存储芯片+华为昇腾+分销龙头+一季报增长
603738.SH,17,603738,光模块+625MHz晶振+人形机器人
002109.SZ,33,002109,
002514.SZ,33,002514,人形机器人+光伏+智能制造
603959.SH,22,603959,固态电池+锂电产线+庭外重组+ST板块
601858.SH,17,601858,数字教育+AI教材+出版+央企
600734.SH,22,600734,ST板块+智算中心+AI应用+福建国资
002199.SZ,33,002199,碳酸锂+石英晶体+申请撤销退市风险警
600080.SH,22,600080,
002975.SZ,33,002975,液冷服务器+AI服务器测试+存储芯片+半导体设备
600748.SH,17,600748,房地产+物业服务+上海国资
002650.SZ,33,002650,减盐酱油+ST摘帽预期+一季度扭亏
601991.SH,17,601991,蒙电入苏+绿电+央企
603557.SH,22,603557,童装童鞋+三胎概念+ST板块+复牌
