涨停原因类别[20260623],股票代码,code,market_code
宠物卫生用品+产品提价+出口,001206.SZ,001206,33
与五粮液续签协议+生物基新材料+醋酸纤维素+竹浆造纸,600793.SH,600793,17
电子陶瓷+印刷版材+铝期货套保,001279.SZ,001279,33
算力租赁+软件外包+ST板块,300167.SZ,300167,33
医疗耗材+外销+一季报增长,605369.SH,605369,17
智谱AI+水务机器狗+生态水利,605069.SH,605069,17
创新药+东北证券出售+长春国资,600881.SH,600881,17
,600988.SH,600988,17
开盘啦实控人任董事长+金融科技,300085.SZ,300085,33
,002902.SZ,002902,33
,002514.SZ,002514,33
,603959.SH,603959,22
债务化解+功率半导体+亏损收窄,000056.SZ,000056,33
,002859.SZ,002859,33
骨科中药+创新药+一季报增长,600080.SH,600080,22
,000603.SZ,000603,33
