涨停原因类别[20260731],market_code,code,股票代码
中报预增+覆铜板+PCB+黄金+国企,33,002552,002552.SZ
人形机器人+精密减速器+海外布局,33,002896,002896.SZ
葡萄酒+淄博国资入主+股权转让,17,603779,603779.SH
AI短剧+AI硬件+AI音乐+算力芯片,33,300418,300418.SZ
算力租赁+数据中心REITs+中报扭亏,33,002197,002197.SZ
超跌反弹+军工+高端装备+成飞概念,17,603261,603261.SH
撤销退市风险警示+储能+再生铜,33,000820,000820.SZ
超跌反弹+光刻胶+电子化学品,17,603120,603120.SH
商办运营+城市更新+出租率修复,17,603682,603682.SH
AI营销+液冷泵+半导体,33,002131,002131.SZ
具身智能+AI教育+中报扭亏,33,003032,003032.SZ
算力租赁+Token工厂+东盟出海+股份回购,33,002929,002929.SZ
存储芯片+电子雷管+低空经济,17,603375,603375.SH
算力租赁+AI营销+浙江国资,17,600986,600986.SH
房地产开发+北京国资+永续债融资,17,600791,600791.SH
光伏+装饰园林+佛山国资,33,002775,002775.SZ
大消费+调味品+一季报增长,17,603696,603696.SH
光模块+重大资产重组+超跌反弹,33,001267,001267.SZ
人形机器人+AI数字成套+实控人增持,17,603337,603337.SH
AI语料+AI漫剧+长沙国资,17,603721,603721.SH
股东增持+锂电池负极材料+机器人概念,33,000009,000009.SZ
成套开关设备+集成电路+订单新高+半年报预增,33,002346,002346.SZ
核电+可控核聚变+PCB刀具+岩土工程,33,003001,003001.SZ
拟收购欧康诺+存储芯片+PVC弹性地板,17,603221,603221.SH
算力租赁+机器人+环卫装备,33,000967,000967.SZ
超跌反弹+拟跨界半导体+自动衡器,33,300720,300720.SZ
算力服务+超跌反弹+设立合资公司,33,301396,301396.SZ
乳业+原奶周期+烘焙食品,17,605179,605179.SH
宇树科技IPO+具身智能+中报预增,17,603466,603466.SH
机器人+AI智能体+一带一路,33,300789,300789.SZ
预重整+光伏硅片+机器人概念,22,603398,603398.SH
超跌反弹+AI电源+英伟达产业链,33,002851,002851.SZ
AI应用+智能巡检机器狗+生态水利,17,605069,605069.SH
机器人+铝合金+业绩预增,17,605208,605208.SH
光模块晶振+CPO+半年报预增,17,603738,603738.SH
AI营销+世界杯IP+算力租赁,17,605168,605168.SH
可转债发行+铬盐龙头+溅射靶材+SOFC,17,603067,603067.SH
算力+IDC+家居商贸+房地产,17,600162,600162.SH
中报预增+华为鲸鸿动能+数字营销,33,000676,000676.SZ
智慧水务+六张网+AI应用,17,603956,603956.SH
液冷服务器+中报预增+定增扩产+饮料瓶盖,33,003018,003018.SZ
AI应用+半年报预增+协同办公,17,603039,603039.SH
参股月之暗面/DeepSeek+AI医疗+中报预增,33,002432,002432.SZ
明略科技入主+AI智能体+信创ERP,33,300996,300996.SZ
PCB设备+PI膜+薄膜材料,33,001223,001223.SZ
算力租赁+东数西算+央企,33,000815,000815.SZ
回购+中报预增+CPO+南孚电池,17,603031,603031.SH
AI应用+AI漫剧+火山引擎合作,17,605287,605287.SH
AI应用+短剧/漫剧+卫星通信,33,002115,002115.SZ
