code,涨停原因类别[20260605],market_code,股票代码
300353,人形机器人+参股高威科+工业操作系统,33,300353.SZ
000539,,33,000539.SZ
603166,机器人+减速器+新能源电驱齿轮,17,603166.SH
002717,罚单落地+面值退市博弈+生态文旅+ST板块,33,002717.SZ
600382,铁精粉扩产+尾矿回收钨锡+业绩补偿推进,17,600382.SH
300052,算力租赁+游戏+资产注入预期+摘帽,33,300052.SZ
603048,关注机器人行业+汽车零部件+业绩增长,17,603048.SH
603992,机器人概念+一季报增长+高分红,17,603992.SH
000520,干散货航运+镍矿运输+一季度扭亏,33,000520.SZ
603272,ST板块+墙布+家居用品,22,603272.SH
603859,物理AI+具身智能+商业航天+AI应用,17,603859.SH
000668,房地产去化+跨境物流+摘帽,33,000668.SZ
003009,商业航天+小型制导火箭+一季度扭亏+央企,33,003009.SZ
003033,,33,003033.SZ
002361,商业航天+聚酯树脂+芜湖国资,33,002361.SZ
603135,机器人+出海+新增订单+到期赎回,17,603135.SH
603078,湿电子化学品+光刻胶+存储芯片+国资入主,17,603078.SH
600310,,17,600310.SH
920510,人形机器人+谐波减速器+精密制造+一季报增长,151,920510.BJ
300162,玻璃基面板+商业航天+Micro LED,33,300162.SZ
000504,,33,000504.SZ
600516,石墨电极+电池材料+核电石墨,17,600516.SH
002856,庭外重组+建筑装饰+佛山国资,33,002856.SZ
000078,创新药+医药全产业链+ST板块,33,000078.SZ
002969,,33,002969.SZ
603070,AI数据中心+电气机柜+分红,17,603070.SH
001299,,33,001299.SZ
000608,商业地产+成立数字科技公司+已摘帽,33,000608.SZ
600063,MLCC树脂+百亿项目+PVA龙头+国企改革,17,600063.SH
688017,“Serenity”发帖+具身智能+谐波减速器,17,688017.SH
002251,线上零售+胖东来调改+营收增长,33,002251.SZ
002194,商业航天+6G预研+射频器件,33,002194.SZ
600881,创新药+长春国资+拟出售东北证券股权,17,600881.SH
600403,焦煤期货大涨+煤炭开采+河南国资,17,600403.SH
002421,AI Agent 2.0+AIoT平台+液冷,33,002421.SZ
603843,绿色算力+矿业+预重整,22,603843.SH
600776,商业航天+AI智能体+央企,17,600776.SH
000056,债务化解+功率半导体+物业管理,33,000056.SZ
600819,TCO玻璃+钙钛矿+上海国资,17,600819.SH
001896,,33,001896.SZ
