code,股票代码,涨停原因类别[20260626],market_code
600367,600367.SH,玻璃基板上游+MLCC上游+碳酸锶+青岛国资,17
603977,603977.SH,钽铌涨价+小型固体火箭+江西国资,17
603822,603822.SH,,22
603159,603159.SH,,17
002538,002538.SZ,磷矿采矿权+工行战略合作+ST摘牌预期,33
600568,600568.SH,股权转让+大健康+房地产,22
688432,688432.SH,半导体硅片+硅片涨价预期+拟收购晶隆半导体,17
600730,600730.SH,先进封装+半导体封测+教育,22
603595,603595.SH,一季报增长+碳化硅+消费电子,22
002354,002354.SZ,具身智能数据集+3D视觉+算力租赁+AI营销,33
301349,301349.SZ,光纤概念+负极包覆材料+碳纤维,33
600851,600851.SH,,17
603261,603261.SH,航空装备+低空经济+摘帽,17
000766,000766.SZ,,33
000823,000823.SZ,转债摘牌+PCB+覆铜板+算力硬件,33
000711,000711.SZ,,33
002726,002726.SZ,,33
001270,001270.SZ,商业航天+相控阵T/R芯片+卫星通信+摘帽,33
600152,600152.SH,,17
605399,605399.SH,功能性硅烷+气凝胶+产能释放+回购注销,17
002263,002263.SZ,,33
002930,002930.SZ,长兴半导体+存储+石化仓储+转债兑付,33
002192,002192.SZ,,33
000070,000070.SZ,,33
000752,000752.SZ,,33
002083,002083.SZ,,33
603650,603650.SH,光刻胶树脂+H股上市,17
605336,605336.SH,,22
002962,002962.SZ,TGV产品+光学光电子+AR/VR,33
605296,605296.SH,猪肉+产能调控+全产业链+成本优势,17
001267,001267.SZ,,33
300264,300264.SZ,音视频软件+《仙剑奇侠传》IP+MR,33
601133,601133.SH,半导体洁净室+OLED洁净室+订单新高+存储芯片,17
603272,603272.SH,,22
603429,603429.SH,,22
603163,603163.SH,可转债申请通过+半导体洁净室+东南亚PCB,17
002910,002910.SZ,乳业龙头+甘肃国资,33
003033,003033.SZ,人形机器人+灵巧手+链传动龙头+张雪机车合作,33
002307,002307.SZ,,33
001389,001389.SZ,算力PCB+拟60亿投建总部+可转债预案,33
300162,300162.SZ,玻璃基Micro LED+先进封装+LED超高清显,33
002497,002497.SZ,,33
600343,600343.SH,商业航天+氢能+航天央企,17
600498,600498.SH,,17
000566,000566.SZ,,33
002217,002217.SZ,,33
001215,001215.SZ,预制菜+对外投资+一季报增长,33
002667,002667.SZ,,33
600539,600539.SH,拟收购利珀科技+半导体封装+机器视觉+AI应用,17
603296,603296.SH,,17
603722,603722.SH,COC放量+半导体材料+特种高耐热树脂+航空航天,17
600745,600745.SH,安世半导体控制权诉讼+半导体+先进封装,22
000620,000620.SZ,存储芯片+封装测试+战略转型,33
002194,002194.SZ,,33
000826,000826.SZ,,33
301051,301051.SZ,玻璃盖板+储能调频+双主业+中标,33
603155,603155.SH,半导体材料+高纯四氯化硅+光纤概念+锂电池,17
600776,600776.SH,,17
002514,002514.SZ,,33
603956,603956.SH,液冷泵+六张网建设+智慧水务,17
603698,603698.SH,实控人航天科技+绿氢工程+煤气化+央企,17
000056,000056.SZ,功率半导体+债务化解预期+亏损收窄,33
002129,002129.SZ,半导体硅片+光伏硅片,33
002180,002180.SZ,集成电路设计+机器人+打印机+券商看好,33
002559,002559.SZ,参股半导体检测公司+工业母机+机器人+海外并购,33
603928,603928.SH,铸造树脂+光刻胶+业绩增长,17
603201,603201.SH,,17
603687,603687.SH,GPU投资进展+钙钛矿设备+纸包装,17
603031,603031.SH,,17
600522,600522.SH,,17
