股票代码,code,涨停原因类别[20260812],market_code
600105.SH,600105,光芯片订单+CPO+中报预增,17
603696.SH,603696,大消费+调味品+一季报增长,17
000410.SZ,000410,工业母机+商业航天+央企国资,33
600266.SH,600266,北京地产+商业航天+北京国资,17
002589.SZ,002589,创新药+AI应用+医药流通,33
603228.SH,603228,AI算力PCB+光模块+通信业务增长,17
603897.SH,603897,电磁线+机器人概念+中报分红,17
002172.SZ,002172,脑机接口+医疗服务+高压氧舱+国企改革,33
603538.SH,603538,半年报增长+牛散新进+GLP-1减肥药+CDMO,17
002573.SZ,002573,机器人概念+烟气脱硫+环保+四川国资,33
603758.SH,603758,人形机器人+真空镀膜+发动机核心零部件+回购注销,17
600641.SH,600641,铟+铋材料+离子注入设备+半导体设备,17
600683.SH,600683,资产重组+拟购光电子资产+TOD轨道物业+北京国资,17
000736.SZ,000736,轻资产运营+中交房地产控股+数据中心+中报预计扭亏,33
603277.SH,603277,关税退税+机器人概念+商用餐饮设备,17
002483.SZ,002483,船舶大单+海工装备+广州国资,33
002047.SZ,002047,光耦合器+股权转让+国企改革,33
002005.SZ,002005,LED+车载照明+小家电+摘帽,33
605179.SH,605179,乳业+烘焙食品+米制鲜食,17
002582.SZ,002582,红枣龙头+参股鸣鸣很忙+大消费,33
603466.SH,603466,具身智能+AI视频生成+中报预增,17
000665.SZ,000665,算力租赁+广电网络+湖北国资,33
600881.SH,600881,创新药+预重整+重整投资人招募+长春国资,17
002081.SZ,002081,洁净室+海外大单+建筑装饰,33
603690.SH,603690,半导体设备+长鑫科技+国产替代,17
600162.SH,600162,算力+IDC+家居商贸+房地产,17
002146.SZ,002146,债务重组+物业管理+业绩减亏+高管增持,33
002421.SZ,002421,AI智能体+AIoT平台+新皇岗口岸+半年报减亏,33
601700.SH,601700,特高压+中报预增+国企改革,17
002562.SZ,002562,维生素+PEEK材料+半年报预增,33
601886.SH,601886,半年报增长+BIPV+海外幕墙,17
600216.SH,600216,维生素+创新药+股份回购,17
603232.SH,603232,抗量子密码+AI安全+PKI龙头,17
603102.SH,603102,宠物经济+维生素+营养保健食品+半年报营收增长,17
002520.SZ,002520,人形机器人+数控螺纹磨床+半年报扭亏+股权激励,33
688167.SH,688167,定增+光通信+微纳光学+CPO,17
