股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002702.SZ,海欣食品,6.51,4.3269230769230695,跌停,0,1,,,, 14:50:51, 14:53:25,板块下跌+业绩预亏,33,002702
002713.SZ,*ST东易,10.98,4.971319311663476,涨停,2,0, 09:35:00, 10:02:15,算力中心+重整完成+家装AI,,,,33,002713
002723.SZ,小崧股份,9.83,-6.022944550669223,跌停,0,1,,,, 09:31:00, 14:07:12,超涨回调+异常波动,33,002723
002731.SZ,ST萃华,9.23,-5.041152263374488,跌停,0,3,,,, 09:30:00, 09:30:00,信披立案+ST实施+账户冻结,33,002731
002759.SZ,天际股份,38.37,-3.008088978766443,跌停,0,1,,,, 09:30:00, 09:30:00,证监会立案+信息披露违规,33,002759
002796.SZ,世嘉科技,49.16,1.5702479338842934,涨停,1,0, 13:30:23, 13:30:23,CPO光模块+增资光彩芯辰+精密箱体,,,,33,002796
002824.SZ,和胜股份,24.29,-2.4497991967871466,涨停,1,0, 10:08:15, 10:08:15,拟投建宜宾二期项目+消费电子+电池结构件+年报预增,,,,33,002824
002830.SZ,名雕股份,24.12,-3.3266533066132196,跌停,0,2,,,, 10:36:07, 14:27:23,AI概念澄清+前期涨幅较大+资金流出,33,002830
002837.SZ,英维克,111.11,1.5166742804933728,涨停,1,0, 09:41:45, 11:15:37,液冷服务器+英伟达+储能温控,,,,33,002837
002842.SZ,翔鹭钨业,38.75,0.6232147494157414,涨停,2,0, 10:48:52, 14:44:13,钨价上涨+光伏钨丝+年报预增,,,,33,002842
002885.SZ,京泉华,29.17,-0.1711156741957466,涨停,1,0, 11:21:37, 11:21:37,变压器+磁性元器件+数据中心+光伏储能,,,,33,002885
002905.SZ,金逸影视,12.15,-0.3281378178835041,跌停,0,2,,,, 10:04:00, 14:51:06,板块延续调整+此前涨幅较大+短线回调,33,002905
002922.SZ,伊戈尔,45.47,-1.9620526088831471,涨停,1,0, 13:03:08, 13:03:08,数据中心+变压器+海外产能,,,,33,002922
002951.SZ,金时科技,19.48,9.994353472614339,涨停,2,0, 09:37:00, 09:37:00,间接投资光纤公司+储能系统+超级电容+国企合作,,,,33,002951
