股票代码,code,market_code,所属概念,所属概念数量
301319.SZ,301319,33,富士康概念;先进封装;芯片概念;比亚迪概念;专精特新;华为概念;新能源汽车;光伏概念;低空经济;粤港澳大湾区;融资融券,11
300716.SZ,300716,33,军民融合;ST板块;华为汽车;长安汽车概念;碳中和;新能源汽车;智能音箱;光伏概念;储能;TOPCON电池;HJT电池;钙钛矿电池;可降解塑料,13
301207.SZ,301207,33,禽流感;肝炎概念;流感;生物疫苗;深股通;融资融券,6
688679.SH,688679,17,液冷服务器;土壤修复;污水处理;净水概念;固废处理;碳中和;绿色电力;融资融券,8
301046.SZ,301046,33,换电概念;光伏概念;机器人概念;智能电网;光伏建筑一体化;虚拟电厂;储能;人形机器人;新型城镇化;光热发电;绿色电力;东数西算(算力);融资融券,13
300570.SZ,300570,33,F5G概念;共封装光学(CPO);光纤概念;铜缆高速连接;5G;芯片概念;数据中心;传感器;人民币贬值受益;融资融券;深股通,11
688652.SH,688652,17,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券,9
300843.SZ,300843,33,铜缆高速连接;富士康概念;液冷服务器;新型烟草(电子烟);消费电子概念;智能座舱;小米概念;数据中心;比亚迪概念;人形机器人;新能源汽车;高压快充;无人机;飞行汽车(eVTOL);机器人概念;低空经济;充电桩;储能;深股通,19
300836.SZ,300836,33,商业航天;PCB概念;苹果概念;传感器;机器视觉;新型工业化;机器人概念;新能源汽车;2025年报预增;人工智能;工业互联网;充电桩;数字经济;民爆概念;绿色电力,15
301363.SZ,301363,33,脑机接口;传感器;消费电子概念;机器人概念;PEEK材料;医疗器械概念;人民币贬值受益;CRO概念;减肥药;深股通;融资融券,11
300246.SZ,300246,33,血氧仪;智能穿戴;横琴新区;智能医疗;医疗器械概念;三胎概念;民营医院,7
002108.SZ,002108,33,钠离子电池;固态电池;锂电池概念;宁德时代概念;国企改革;储能;新能源汽车;比亚迪概念;参股银行;地下管网;核电;雄安新区;物联网;深股通;融资融券;股权转让(并购重组),16
600530.SH,600530,17,养老概念;幽门螺杆菌概念;宠物经济;沪股通,4
002124.SZ,002124,33,猪肉;预制菜;绿色电力;机器人概念;深股通;元宇宙,6
920284.BJ,920284,151,锂电池概念;融资融券;新型工业化;宁德时代概念;固态电池;专精特新;人造肉,7
600748.SH,600748,17,物业管理;养老概念;土地流转;上海国企改革;国企改革;长三角一体化;沪股通;融资融券,8
600078.SH,600078,17,磷化工;绿色电力,2
000425.SZ,000425,33,同花顺出海50;雅下水电概念;高端装备;农机;一带一路;工业互联网;无人驾驶;机器人概念;氢能源;军工;深股通;融资融券;国企改革,13
600379.SH,600379,17,特高压;虚拟电厂;光热发电;智能电网;燃料电池;氢能源;储能;高铁;西部大开发;国企改革;芯片概念;央企国企改革;军工;融资融券,14
000712.SZ,000712,33,期货概念;粤港澳大湾区;算力租赁;深股通;融资融券;股权转让(并购重组),6
601609.SH,601609,17,稀土永磁;金属铜;金属回收;高铁;可控核聚变;核电;PEEK材料;海工装备;2025年报预增;低空经济;无人机;苹果概念;铜缆高速连接;新能源汽车;比亚迪概念;液冷服务器;特斯拉概念;小米汽车;芯片概念;光伏概念;人形机器人;机器人概念;回购增持再贷款概念;特高压;人工智能;高压快充;数字经济;东数西算(算力);融资融券;沪股通,30
600236.SH,600236,17,绿色电力;风电;碳交易;央企国企改革;高股息精选;国企改革;沪股通;融资融券;西部大开发,9
605189.SH,605189,17,染料;PEEK材料;机器人概念;人形机器人;储能;2026一季报预增,6
002918.SZ,002918,33,创投;智能家居;数据中心;深股通,4
605186.SH,605186,17,中俄贸易概念;智能医疗;数据要素;DeepSeek概念;AI应用;AI智能体;机器人概念;AI语料;医药电商,9
605006.SH,605006,17,PCB概念;风电;国企改革,3
002491.SZ,002491,33,光纤概念;5G;数据中心;专精特新;储能;长三角一体化;独角兽概念;数字水印;网络安全;数据安全;固态电池;深股通;融资融券,13
002552.SZ,002552,33,PCB概念;黄金概念;汽车电子;5G;2026一季报预增;国企改革;互联网金融;股权转让(并购重组);深股通,9
603269.SH,603269,17,液冷服务器;数据中心;核电;超超临界发电;海峡两岸;氢能源;一带一路,7
002971.SZ,002971,33,天然气;氟化工概念;氢能源;有机硅概念;燃料电池;芯片概念;专精特新;深股通,8
603499.SH,603499,17,烟草;工业互联网;创投;上海自贸区;芯片概念;存储芯片;2025年报预增;沪股通,8
600330.SH,600330,17,第三代半导体;先进封装;PCB概念;MicroLED概念;OLED;5G;芯片概念;AI眼镜;无线充电;汽车电子;毫米波雷达;智能穿戴;商业航天;卫星导航;光伏概念;数据中心;量子科技;军工;新能源汽车;高端装备;充电桩;储能;长三角一体化;锂电池概念;创投;智能物流;固废处理;融资融券;乡村振兴;沪股通,30
002585.SZ,002585,33,PET铜箔;锂电池概念;OLED;柔性屏(折叠屏);消费电子概念;可降解塑料;光伏概念;建筑节能;小米概念;华为概念;新能源汽车;区块链;参股银行;绿色电力;融资融券;深股通,16
000636.SZ,000636,33,小金属概念;卫星导航;5G;汽车电子;AI眼镜;商业航天;无人机;超级电容;智能穿戴;传感器;共封装光学(CPO);液冷服务器;东数西算(算力);华为概念;低空经济;粤港澳大湾区;机器人概念;比亚迪概念;创投;高压快充;光伏概念;锂电池概念;国企改革;储能;深股通;融资融券,26
001211.SZ,001211,33,露营经济;三胎概念;跨境电商;预制菜;IP经济(谷子经济),5
600172.SH,600172,17,培育钻石;第三代半导体;回购增持再贷款概念;国企改革;物业管理;旅游概念;沪股通;融资融券,8
603936.SH,603936,17,共封装光学(CPO);PCB概念;6G概念;AI PC;苹果概念;先进封装;液冷服务器;存储芯片;5G;第三代半导体;MiniLED;汽车电子;消费电子概念;EDR概念;数据中心;智能穿戴;卫星导航;比亚迪概念;商业航天;华为概念;无人驾驶;新能源汽车;军工;充电桩;机器人概念;物联网;沪股通;融资融券,28
001259.SZ,001259,33,净水概念;家用电器;露营经济,3
