股票代码,所属概念数量,所属概念,code,market_code
601567.SH,20,智能电网;电力物联网;高压氧舱;风电;充电桩;储能;光伏概念;数据中心;一带一路;工业互联网;民营医院;参股银行;三胎概念;脑机接口;养老概念;人工智能;智能医疗;AI应用;沪股通;融资融券,601567,17
001339.SZ,31,AI PC;中国AI 50;英伟达概念;5G;东数西算(算力);算力租赁;消费电子概念;机器视觉;网络安全;智能座舱;安防;信创;车联网(车路协同);数据安全;物联网;专精特新;云办公;人脸识别;新型工业化;智慧城市;鸿蒙概念;机器人概念;ETC;工业互联网;人工智能;DeepSeek概念;人形机器人;粤港澳大湾区;在线教育;智能医疗;深股通,001339,33
000815.SZ,10,国资云;东数西算(算力);云计算;数据中心;绿色电力;央企国企改革;国企改革;西部大开发;深股通;融资融券,000815,33
002112.SZ,10,智能电网;风电;光伏概念;核电;储能;数据中心;专精特新;共同富裕示范区;国企改革;融资融券,002112,33
000534.SZ,8,航空发动机;大飞机;军工;无人机;低空经济;创新药;深股通;融资融券,000534,33
003035.SZ,15,智能电网;虚拟电厂;风电;绿色电力;华为数字能源;光伏概念;固废处理;碳中和;央企国企改革;建筑节能;2025三季报预增;国企改革;乡村振兴;融资融券;深股通,003035,33
001258.SZ,11,光热发电;绿色电力;风电;充电桩;储能;新疆振兴;国企改革;西部大开发;2025年报预增;碳中和;深股通,001258,33
002015.SZ,31,虚拟电厂;华为数字能源;碳交易;碳中和;抽水蓄能;智能电网;换电概念;生物质能发电;绿色电力;光伏概念;充电桩;储能;风电;高压快充;水利;数据中心;算力租赁;长三角一体化;锂电池概念;蚂蚁集团概念;东数西算(算力);数字经济;动力电池回收;华为概念;区块链;新能源汽车;百度概念;宁德时代概念;英伟达概念;融资融券;深股通,002015,33
002730.SZ,15,军工;3D打印;物联网;工业互联网;机器人概念;东数西算(算力);数据中心;卫星导航;华为概念;新能源汽车;电力物联网;人工智能;算力租赁;鸿蒙概念;深股通,002730,33
002300.SZ,9,特高压;核电;风电;海工装备;充电桩;军工;海峡两岸;光伏概念;融资融券,002300,33
600602.SH,29,算力租赁;云计算;信创;东数西算(算力);智慧政务;阿里巴巴概念;国资云;腾讯概念;AI智能体;区块链;数据要素;数据中心;华为概念;DeepSeek概念;人工智能;智慧城市;数字孪生;物联网;数字经济;液冷服务器;职业教育;智能医疗;军工;食品安全;上海国企改革;PPP概念;国企改革;沪股通;融资融券,600602,17
300880.SZ,11,电力物联网;智能电网;虚拟电厂;高压快充;充电桩;储能;传感器;专精特新;物联网;鸿蒙概念;融资融券,300880,33
605268.SH,8,新型城镇化;智能家居;物联网;人脸识别;智慧城市;安防;华为概念;数据要素,605268,17
002930.SZ,6,东数西算(算力);粤港澳大湾区;智能物流;统一大市场;融资融券;深股通,002930,33
600135.SH,11,柔性屏(折叠屏);京津冀一体化;光伏概念;雄安新区;央企国企改革;国企改革;参股保险;医疗器械概念;锂电池概念;固态电池;融资融券,600135,17
000601.SZ,13,生物质能发电;绿色电力;抽水蓄能;充电桩;储能;回购增持再贷款概念;长安汽车概念;新能源汽车;数据中心;比亚迪概念;减速器;深股通;融资融券,000601,33
300588.SZ,22,时空大数据;网络安全;智慧政务;数据安全;华为鲲鹏;数据要素;信创;人脸识别;智慧城市;DeepSeek概念;数字经济;人工智能;东数西算(算力);安防;独角兽概念;华为概念;机器视觉;AI应用;西部大开发;专精特新;新疆振兴;股权转让(并购重组),300588,33
920088.BJ,7,一带一路;空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088,151
300999.SZ,6,养鸡;预制菜;超级品牌;同花顺漂亮100;深股通;融资融券,300999,33
600812.SH,17,流感;维生素;证金持股;生物疫苗;仿制药一致性评价;肝炎概念;合成生物;创新药;眼科医疗;重组蛋白;化肥;国企改革;雄安新区;DeepSeek概念;数字经济;沪股通;融资融券,600812,17
300571.SZ,33,数字水印;算力租赁;智谱AI;华为昇腾;阿里巴巴概念;腾讯概念;多模态AI;虚拟数字人;快手概念;元宇宙;短剧游戏;数据要素;鸿蒙概念;东数西算(算力);文化传媒概念;虚拟现实;DeepSeek概念;智能音箱;数字经济;IP经济(谷子经济);WiFi 6;数据中心;5G;6G概念;低空经济;智能家居;机器人概念;无人机;芯片概念;人形机器人;F5G概念;共封装光学(CPO);储能,300571,33
300738.SZ,21,快手概念;智谱AI;算力租赁;云计算;腾讯概念;东数西算(算力);阿里巴巴概念;网络安全;百度概念;数据要素;数据中心;DeepSeek概念;人工智能;华为概念;芯片概念;粤港澳大湾区;光伏概念;一带一路;绿色电力;融资融券;深股通,300738,33
301120.SZ,14,智能电网;风电;核电;光伏概念;储能;海工装备;绿色电力;军工;水利;专精特新;钠离子电池;机器人概念;深股通;融资融券,301120,33
300454.SZ,20,云办公;ChatGPT概念;云计算;中国AI 50;数据安全;智慧政务;信创;网络安全;东数西算(算力);DeepSeek概念;英伟达概念;人工智能;AI应用;数据中心;物联网;粤港澳大湾区;机器人概念;2025年报预增;融资融券;深股通,300454,33
301428.SZ,32,快手概念;抖音概念(字节概念);AIGC概念;多模态AI;云计算;腾讯概念;数据安全;数据确权;AI智能体;网络安全;数据要素;鸿蒙概念;DeepSeek概念;移动支付;人工智能;数字货币;数字经济;智慧城市;互联网金融;车联网(车路协同);ETC;物联网;华为概念;网约车;宠物经济;AI应用;乡村振兴;无人驾驶;新能源汽车;西部大开发;新疆振兴;融资融券,301428,33
