code,股票代码,所属概念,所属概念数量,market_code
603375,603375.SH,传感器;芯片概念;汽车芯片;专精特新;比亚迪概念;机器人概念;存储芯片;低空经济;回购增持再贷款概念;PVDF概念;民爆概念;融资融券,12,17
000066,000066.SZ,AI PC;中国AI 50;东数西算(算力);国产操作系统;数据安全;网络安全;信创;华为鲲鹏;数据中心;百度概念;量子科技;区块链;智慧城市;液冷服务器;车联网(车路协同);华为概念;智能电网;5G;DeepSeek概念;人工智能;数字经济;芯片概念;消费电子概念;粤港澳大湾区;商业航天;军工;卫星导航;海工装备;汽车电子;军民融合;锂电池概念;央企国企改革;国企改革;钠离子电池;深股通;中字头股票;融资融券,37,33
603687,603687.SH,钙钛矿电池;烟草;数字水印;光伏概念;AIGC概念;共同富裕示范区;数字孪生;DeepSeek概念;工业互联网;ChatGPT概念;锂电池概念;人工智能;物联网;芯片概念,14,17
002645,002645.SZ,稀土永磁;金属钴;金属铜;金属回收;汽车拆解概念;消费电子概念;新能源汽车;机器人概念;高端装备;固废处理;垃圾分类;深股通;融资融券,13,33
000833,000833.SZ,化肥;磷化工;土地流转;锂电池概念;农业种植;西部大开发;2026一季报预增;广东自贸区;国企改革;TOPCON电池;乡村振兴;光伏概念;粤港澳大湾区;2025年报预增;融资融券;深股通,16,33
603399,603399.SH,小金属概念;固态电池;锂电池概念;股权转让(并购重组);专精特新;沪股通;融资融券,7,17
002685,002685.SZ,高端装备;新型工业化;专精特新;军工;传感器;一带一路;芯片概念;DeepSeek概念;信创;航运概念;深股通;股权转让(并购重组);融资融券,13,33
601086,601086.SH,IP经济(谷子经济);参股券商;家用电器;西部大开发;沪股通,5,17
688123,688123.SH,存储芯片;汽车芯片;中芯国际概念;汽车电子;无线耳机;芯片概念;AI眼镜;消费电子概念;智能座舱;智能穿戴;小米概念;数据中心;华为概念;专精特新;比亚迪概念;新型烟草(电子烟);特斯拉概念;人民币贬值受益;沪股通;融资融券,20,17
600400,600400.SH,养老概念;参股银行;独角兽概念;互联网金融;工业互联网;机器人概念;军工;沪股通;融资融券,9,17
603030,603030.SH,建筑节能;装配式建筑;新型城镇化;养老概念;跨境电商;长三角一体化;一带一路;智能家居;人工智能;物联网,10,17
002640,002640.SZ,互联网金融;拼多多概念;数字经济;网红经济;跨境电商;三胎概念;人民币贬值受益;无线耳机;深股通,9,33
920156,920156.BJ,储能;2026一季报预增;专精特新;新股与次新股;融资融券,5,151
601106,601106.SH,商业航天;国产航母;军民融合;军工;核电;高端装备;工业母机;风电;中字头股票;特斯拉概念;央企国企改革;一带一路;金属镍;国企改革;小金属概念;黑龙江自贸区;同花顺中特估100;沪股通;融资融券,19,17
600208,600208.SH,黄金概念;芯片概念;长三角一体化;知识产权保护;参股保险;乡村振兴;区块链;数据确权;互联网金融;参股银行;独角兽概念;创投;共同富裕示范区;参股券商;国企改革;Web3.0;NFT概念;元宇宙;期货概念;沪股通;融资融券;煤炭概念,22,17
600052,600052.SH,文化传媒概念;体育产业;国企改革;储能;锂电池概念,5,17
688159,688159.SH,算力租赁;云计算;东数西算(算力);信创;智慧政务;阿里巴巴概念;AI智能体;数据要素;鸿蒙概念;星闪概念;车联网(车路协同);存储芯片;数据中心;华为概念;智慧城市;物联网;5G;人工智能;电力物联网;低空经济;专精特新;机器人概念;无人机;比亚迪概念;粤港澳大湾区;智能电网;水利;沪股通;融资融券,29,17
601588,601588.SH,物业管理;京津冀一体化;养老概念;国企改革;数字经济;回购增持再贷款概念;小米概念;沪股通;融资融券,9,17
688025,688025.SH,共封装光学(CPO);光纤概念;PCB概念;苹果概念;MR(混合现实);芯片概念;钙钛矿电池;3D打印;虚拟现实;TOPCON电池;机器视觉;专精特新;比亚迪概念;华为概念;光伏概念;2025年报预增;宁德时代概念;固态电池;沪股通;融资融券,20,17
605389,605389.SH,减速器;专精特新;机器人概念;高端装备;光伏概念;海工装备;国企改革;沪股通;股权转让(并购重组),9,17
301193,301193.SZ,3D打印;可降解塑料;人民币贬值受益;跨境电商;一带一路;融资融券,6,33
688339,688339.SH,燃料电池;储能;专精特新;氢能源;京津冀一体化;股权转让(并购重组);沪股通;融资融券,8,17
920078,920078.BJ,商业航天;核污染防治;专精特新;新股与次新股;融资融券,5,151
920108,920108.BJ,机器人概念;一带一路;小米概念;家用电器;融资融券,5,151
600330,600330.SH,PCB概念;第三代半导体;先进封装;5G;OLED;MicroLED概念;毫米波雷达;芯片概念;汽车电子;AI眼镜;商业航天;无线充电;卫星导航;数据中心;智能穿戴;光伏概念;量子科技;军工;新能源汽车;高端装备;储能;充电桩;锂电池概念;长三角一体化;智能物流;创投;固废处理;乡村振兴;融资融券;沪股通,30,17
688147,688147.SH,存储芯片;先进封装;OLED;中芯国际概念;BC电池;第三代半导体;汽车芯片;钙钛矿电池;芯片概念;TOPCON电池;HJT电池;专精特新;高端装备;光伏概念;回购增持再贷款概念;沪股通;融资融券,17,17
002281,002281.SZ,F5G概念;共封装光学(CPO);光纤概念;液冷服务器;6G概念;5G;芯片概念;数据中心;东数西算(算力);量子科技;华为概念;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;央企国企改革;国企改革;深股通;融资融券;股权转让(并购重组),20,33
000042,000042.SZ,物业管理;粤港澳大湾区;深股通;融资融券,4,33
301310,301310.SZ,军工;飞行汽车(eVTOL);可控核聚变;铜缆高速连接;核电;专精特新;新能源汽车;人形机器人;高压快充;比亚迪概念;机器人概念;充电桩;宁德时代概念;储能;光伏概念;创投;深股通;融资融券,18,33
