股票代码,所属概念数量,code,所属概念,market_code
002229.SZ,21,002229,算力租赁;东数西算(算力);数字水印;云计算;数据中心;英伟达概念;Web3.0;区块链;数据要素;ChatGPT概念;元宇宙;虚拟数字人;DeepSeek概念;AIGC概念;数字经济;人工智能;福建自贸区;海峡两岸;体育产业;融资融券;深股通,33
002213.SZ,15,002213,存储芯片;汽车芯片;消费电子概念;PCB概念;芯片概念;比亚迪概念;锂电池概念;新能源汽车;粤港澳大湾区;WiFi 6;无人驾驶;小金属概念;硅能源;创投;信创,33
600605.SH,4,600605,物业管理;租售同权;芯片概念;沪股通,17
002083.SZ,17,002083,氟化工概念;锂电池概念;硅能源;新能源汽车;人民币贬值受益;三胎概念;托育服务;回购增持再贷款概念;军工;中俄贸易概念;军民融合;创投;高铁;一带一路;海工装备;国企改革;深股通,33
002364.SZ,28,002364,中国AI 50;数据中心;5G;东数西算(算力);高压快充;华为概念;阿里巴巴概念;百度概念;腾讯概念;智能电网;核电;特高压;工业互联网;换电概念;海工装备;储能;宁德时代概念;充电桩;数字孪生;新能源汽车;虚拟电厂;拼多多概念;风电;碳中和;水利;两轮车;深股通;融资融券,33
600152.SH,13,600152,固态电池;锂电池概念;钠离子电池;无人机;新型烟草(电子烟);消费电子概念;储能;机器人概念;换电概念;华为概念;华为汽车;共同富裕示范区;两轮车,17
603383.SH,14,603383,互联网金融;鸿蒙概念;区块链;AI智能体;华为鲲鹏;信创;DeepSeek概念;腾讯概念;华为概念;福建自贸区;海峡两岸;AI应用;融资融券;沪股通,17
002692.SZ,11,002692,风电;核电;新能源汽车;智能电网;充电桩;储能;专精特新;光伏概念;国企改革;数字孪生;芯片概念,33
603527.SH,6,603527,锂电池概念;3D打印;新能源汽车;高端装备;固态电池;融资融券,17
002107.SZ,6,002107,医药电商;流感;阿尔茨海默概念;2025年报预增;养老概念;创投,33
000967.SZ,20,000967,储能;充电桩;垃圾分类;固废处理;新能源汽车;污水处理;智能电网;回购增持再贷款概念;核电;PPP概念;机器人概念;无人驾驶;华为概念;物联网;特色小镇;智慧城市;数据要素;云计算;深股通;融资融券,33
301592.SZ,8,301592,军工;军工信息化;无人机;西部大开发;芯片概念;存储芯片;深股通;融资融券,33
002051.SZ,18,002051,固废处理;新疆振兴;冰雪产业;新型城镇化;污水处理;同花顺中特估100;乡村振兴;国企改革;雄安新区;央企国企改革;一带一路;水利;人民币贬值受益;华为概念;东数西算(算力);深股通;融资融券;中字头股票,33
600173.SH,17,600173,金属锌;金属铅;黄金概念;金属铜;稀土永磁;物业管理;绿色电力;IP经济(谷子经济);锂电池概念;风电;氢能源;手机游戏;储能;网络游戏;机器人概念;沪股通;股权转让(并购重组),17
000889.SZ,10,000889,抖音概念(字节概念);百度概念;腾讯概念;阿里巴巴概念;华为概念;区块链;5G;算力租赁;互联网金融;摘帽,33
600743.SH,8,600743,物业管理;智能家居;国企改革;京津冀一体化;证金持股;沪股通;融资融券;股权转让(并购重组),17
000620.SZ,12,000620,存储芯片;芯片概念;京津冀一体化;参股银行;乡村振兴;体育产业;旅游概念;数据要素;IP经济(谷子经济);AI智能体;短剧游戏;深股通,33
300696.SZ,12,300696,成飞概念;航空发动机;大飞机;军民融合;军工;无人机;低空经济;3D打印;创投;西部大开发;融资融券;深股通,33
603256.SH,12,603256,PCB概念;华为手机;苹果概念;5G;消费电子概念;芯片概念;2025年报预增;专精特新;华为概念;海峡两岸;数据中心;沪股通,17
301358.SZ,12,301358,磷化工;动力电池回收;固态电池;锂电池概念;宁德时代概念;金属铜;储能;比亚迪概念;新能源汽车;2025年报预增;深股通;融资融券,33
688227.SH,17,688227,芯片概念;军工;东数西算(算力);华为概念;华为欧拉;信创;云计算;算力租赁;人工智能;智慧政务;AI智能体;数据要素;DeepSeek概念;区块链;数字经济;互联网金融;融资融券,17
002008.SZ,40,002008,光刻机;PCB概念;先进封装;光纤概念;富士康概念;苹果概念;存储芯片;第三代半导体;OLED;MiniLED;MicroLED概念;消费电子概念;芯片概念;AI眼镜;MR(混合现实);3D打印;工业母机;小米概念;特斯拉概念;比亚迪概念;宁德时代概念;新能源汽车;商业航天;高端装备;光伏概念;机器视觉;钙钛矿电池;新型工业化;固态电池;储能;华为概念;TOPCON电池;机器人概念;锂电池概念;HJT电池;减速器;物联网;粤港澳大湾区;深股通;融资融券,33
300693.SZ,13,300693,高压快充;数据中心;虚拟电厂;充电桩;储能;宁德时代概念;换电概念;新能源汽车;比亚迪概念;专精特新;锂电池概念;深股通;融资融券,33
002521.SZ,5,002521,污水处理;可降解塑料;融资融券;2026一季报预增;深股通,33
300936.SZ,11,300936,PCB概念;毫米波雷达;专精特新;芯片概念;5G;消费电子概念;卫星导航;无人驾驶;华为概念;储能;融资融券,33
002484.SZ,13,002484,5G;可控核聚变;军工;超级电容;人形机器人;新能源汽车;东数西算(算力);华为概念;机器人概念;储能;国企改革;深股通;融资融券,33
