market_code,股票代码,code,所属概念,所属概念数量
33,002129.SZ,002129,TOPCON电池;BC电池;HJT电池;硅能源;绿色电力;光伏概念;中芯国际概念;芯片概念;一带一路;同花顺漂亮100;商业航天;深股通;融资融券,13
33,000759.SZ,000759,免税店;统一大市场;预制菜;跨境电商;冷链物流;IP经济(谷子经济);乡村振兴;农业种植;智能物流;可降解塑料;国企改革;一带一路;腾讯概念;抖音概念(字节概念);深股通,15
17,600758.SH,600758,煤炭概念;绿色电力;风电;国企改革;沪股通;融资融券,6
33,000509.SZ,000509,工业母机;碳交易;碳中和;人民币贬值受益;网络安全;信创;国企改革;西部大开发,8
17,600702.SH,600702,白酒概念;旅游概念;C2M概念;西部大开发;回购增持再贷款概念;融资融券;沪股通,7
17,688003.SH,688003,PCB概念;先进封装;英伟达概念;苹果概念;第三代半导体;消费电子概念;芯片概念;机器视觉;小米概念;人形机器人;新型工业化;专精特新;无人驾驶;新能源汽车;机器人概念;百度概念;光伏概念;高端装备;车联网(车路协同);低空经济;人工智能;DeepSeek概念;智能物流;沪股通;融资融券,25
17,603773.SH,603773,MicroLED概念;MiniLED;共封装光学(CPO);先进封装;OLED;PET铜箔;光刻机;存储芯片;柔性屏(折叠屏);6G概念;消费电子概念;智能穿戴;汽车电子;芯片概念;钙钛矿电池;小米概念;商业航天;卫星导航;华为概念;锂电池概念;沪股通,21
151,920186.BJ,920186,存储芯片;量子科技;5G;中字头股票;国家大基金持股;中芯国际概念;第三代半导体;芯片概念;专精特新;新股与次新股;融资融券;国企改革;2026一季报预增,13
17,688813.SH,688813,科创次新股;PET铜箔;共封装光学(CPO);PCB概念;注册制次新股;锂电池概念;比亚迪概念;军工;华为概念;核电;氢能源;西部大开发;国企改革;新股与次新股;融资融券,15
17,688146.SH,688146,光刻机;国家大基金持股;中芯国际概念;中船系;氟化工概念;芯片概念;固态电池;锂电池概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票,13
33,300174.SZ,300174,超级电容;PM2.5;储能;海峡两岸;股权转让(并购重组);深股通;融资融券,7
151,920699.BJ,920699,家用电器;华为概念;融资融券;东数西算(算力);比亚迪概念,5
33,301305.SZ,301305,碳交易;固废处理;生物质能发电;碳中和;垃圾分类;绿色电力;PPP概念;可降解塑料;人工智能;三胎概念;粤港澳大湾区;合成生物;创新药;深股通;融资融券,15
33,301321.SZ,301321,MiniLED;MicroLED概念;消费电子概念;汽车电子;OLED;华为概念;虚拟现实;回购增持再贷款概念;融资融券,9
17,600207.SH,600207,光热发电;建筑节能;天然气;医疗器械概念;国企改革;光伏概念;储能;富士康概念;芯片概念;沪股通;融资融券,11
17,688234.SH,688234,第三代半导体;芯片概念;AI眼镜;专精特新;华为概念;新能源汽车;智能电网;沪股通;融资融券,9
151,920273.BJ,920273,海峡两岸;乡村振兴;预制菜;专精特新;宠物经济;融资融券,6
17,688551.SH,688551,芯片概念;光伏概念;专精特新;华为概念;储能;比亚迪概念;新能源汽车;低空经济;宁德时代概念;固态电池;燃料电池;氢能源;融资融券,13
17,605186.SH,605186,智能医疗;中俄贸易概念;AI语料;机器人概念;数据要素;AI智能体;DeepSeek概念;AI应用;医药电商,9
33,300093.SZ,300093,ST板块;建筑节能;HJT电池;钙钛矿电池;算力租赁;西部大开发;光伏建筑一体化;光伏概念,8
17,600330.SH,600330,PCB概念;先进封装;第三代半导体;5G;OLED;AI眼镜;MicroLED概念;芯片概念;毫米波雷达;智能穿戴;汽车电子;无线充电;卫星导航;数据中心(AIDC);商业航天;量子科技;军工;光伏概念;充电桩;新能源汽车;储能;锂电池概念;高端装备;长三角一体化;固废处理;创投;智能物流;融资融券;乡村振兴;沪股通,30
17,688676.SH,688676,中国AI 50;数据中心(AIDC);智能电网;核电;抽水蓄能;华为概念;阿里巴巴概念;光伏概念;百度概念;储能;数字孪生;海工装备;风电;工业互联网;专精特新;数据要素;高端装备;新能源汽车;机器人概念;雅下水电概念;海南自贸区;融资融券;沪股通,23
17,688498.SH,688498,共封装光学(CPO);光纤概念;汽车芯片;芯片概念;5G;数据中心(AIDC);西部大开发;沪股通;融资融券,9
17,688368.SH,688368,第三代半导体;汽车芯片;芯片概念;MCU芯片;无线充电;汽车电子;小米概念;专精特新;英伟达概念;机器人概念;数据中心(AIDC);股权转让(并购重组);沪股通;融资融券,14
33,002185.SZ,002185,存储芯片;国家大基金持股;先进封装;汽车芯片;芯片概念;第三代半导体;华为海思概念股;5G;汽车电子;共封装光学(CPO);传感器;智能座舱;毫米波雷达;华为概念;比亚迪概念;机器人概念;无人驾驶;西部大开发;深股通;融资融券,20
17,603733.SH,603733,碳交易;绿色电力;参股券商;超级电容;固废处理;回购增持再贷款概念;烟草;医疗器械概念;融资融券;沪股通,10
17,603163.SH,603163,中芯国际概念;芯片概念;富士康概念;海峡两岸;一带一路,5
33,300997.SZ,300997,乳业;广东自贸区;网红经济;拼多多概念;粤港澳大湾区;乡村振兴;创投;参股银行;深股通;融资融券,10
17,688513.SH,688513,创新药;仿制药一致性评价;智能医疗;西部大开发;沪股通;融资融券,6
33,301568.SZ,301568,PCB概念;富士康概念;5G;光刻机;消费电子概念;芯片概念;AI眼镜;汽车电子;MicroLED概念;机器视觉;专精特新;光刻胶;商业航天;比亚迪概念;新型工业化;高端装备;海峡两岸;锂电池概念;福建自贸区;多模态AI;人工智能;融资融券,22
33,300975.SZ,300975,存储芯片;东数西算(算力);数据中心(AIDC);MCU芯片;液冷服务器;汽车芯片;消费电子概念;抖音概念(字节概念);芯片概念;毫米波雷达;AI眼镜;汽车电子;百度概念;物联网;无人机;比亚迪概念;海峡两岸;宁德时代概念;低空经济;新能源汽车;2025年报预增;机器人概念;创投;飞行汽车(eVTOL);智能物流;一带一路;跨境电商;统一大市场;深股通;融资融券,30
33,301092.SZ,301092,盐湖提锂;稀土永磁;净水概念;专精特新;减肥药;核污染防治;污水处理;核电;超超临界发电;融资融券,10
17,601991.SH,601991,绿色电力;风电;核电;雅下水电概念;储能;央企国企改革;国企改革;2025年报预增;沪股通;融资融券,10
33,300816.SZ,300816,算力租赁;云计算;DeepSeek概念;智能医疗;专精特新;2025年报预增;氢能源;燃料电池,8
33,002138.SZ,002138,PCB概念;共封装光学(CPO);6G概念;5G;汽车电子;消费电子概念;AI眼镜;数据中心(AIDC);传感器;无线充电;智能穿戴;芯片概念;小米概念;无人机;华为概念;新能源汽车;光伏概念;机器人概念;物联网;储能;燃料电池;移动支付;固态电池;创投;回购增持再贷款概念;深股通;融资融券,27
33,300617.SZ,300617,特高压;智能电网;电力物联网;虚拟电厂;风电;核电;数据中心(AIDC);充电桩;光伏概念;东数西算(算力);储能;专精特新;腾讯概念;宁德时代概念;氟化工概念;深股通,16
33,300088.SZ,300088,算力租赁;电子纸;东数西算(算力);MicroLED概念;元宇宙;车联网(车路协同);柔性屏(折叠屏);智能座舱;虚拟现实;AI手机;汽车电子;华为概念;华为汽车;消费电子概念;苹果概念;智能穿戴;小米概念;比亚迪概念;特斯拉概念;新能源汽车;OLED;储能;石墨烯;一带一路;锂电池概念;固态电池;国企改革;深股通;融资融券,29
33,002150.SZ,002150,风电;储能;充电桩;光伏概念;乡村振兴;一带一路;农机;人民币贬值受益;深股通;融资融券,10
33,001270.SZ,001270,6G概念;卫星导航;军工信息化;商业航天;军民融合;军工;5G;芯片概念;共同富裕示范区;专精特新;第三代半导体;摘帽,12
