股票代码,所属概念数量,code,market_code,所属概念
002579.SZ,47,002579,33,MiniLED;PCB概念;共封装光学(CPO);AI PC;MicroLED概念;柔性屏(折叠屏);5G;毫米波雷达;汽车电子;WiFi 6;消费电子概念;先进封装;AI手机;AI眼镜;6G概念;OLED;芯片概念;智能穿戴;新型烟草(电子烟);小米概念;无人机;无人驾驶;商业航天;比亚迪概念;新能源汽车;无线耳机;军工;数据中心;存储芯片;智能音箱;卫星导航;机器人概念;军民融合;低空经济;粤港澳大湾区;人形机器人;物联网;海峡两岸;工业互联网;储能;创投;医疗器械概念;广东自贸区;数字经济;养老概念;融资融券;深股通
002083.SZ,17,002083,33,氟化工概念;锂电池概念;硅能源;新能源汽车;军工;人民币贬值受益;军民融合;中俄贸易概念;回购增持再贷款概念;高铁;托育服务;海工装备;三胎概念;一带一路;创投;国企改革;深股通
601872.SH,12,601872,17,俄乌冲突概念;天然气;航运概念;上海自贸区;一带一路;央企国企改革;回购增持再贷款概念;海峡两岸;国企改革;高股息精选;融资融券;沪股通
002923.SZ,10,002923,33,青蒿素;合成生物;医疗器械概念;仿制药一致性评价;创新药;肝炎概念;医药电商;流感;猴痘概念;幽门螺杆菌概念
002624.SZ,21,002624,33,云游戏;短剧游戏;文化传媒概念;网络游戏;手机游戏;NFT概念;虚拟数字人;AIGC概念;元宇宙;电子竞技;AI智能体;IP经济(谷子经济);虚拟现实;鸿蒙概念;区块链;英伟达概念;人工智能;华为概念;AI应用;深股通;融资融券
002902.SZ,27,002902,33,F5G概念;共封装光学(CPO);铜缆高速连接;华为海思概念股;5G;汽车电子;露营经济;消费电子概念;数据中心;第三代半导体;芯片概念;粤港澳大湾区;新能源汽车;智能穿戴;充电桩;华为概念;储能;车联网(车路协同);工业互联网;体育产业;光伏概念;数字经济;跨境电商;一带一路;商业航天;深股通;融资融券
603937.SH,1,603937,17,锂电池概念
605006.SH,3,605006,17,PCB概念;风电;国企改革
603912.SH,12,603912,17,液冷服务器;数据中心;5G;东数西算(算力);算力租赁;华为概念;腾讯概念;阿里巴巴概念;抖音概念(字节概念);专精特新;百度概念;DeepSeek概念
002560.SZ,23,002560,33,特高压;柔性直流输电;成飞概念;智能电网;充电桩;大飞机;海工装备;风电;军工;光伏概念;军民融合;无人机;储能;数据中心;新能源汽车;专精特新;机器人概念;一带一路;雅下水电概念;2025三季报预增;医疗器械概念;2025年报预增;融资融券
603727.SH,8,603727,17,俄乌冲突概念;天然气;中俄贸易概念;一带一路;海工装备;锂电池概念;京津冀一体化;融资融券
605287.SH,11,605287,17,Sora概念(文生视频);AI应用;AIGC概念;短剧游戏;虚拟现实;文化传媒概念;装配式建筑;回购增持再贷款概念;新型城镇化;光伏建筑一体化;乡村振兴
002432.SZ,16,002432,33,血氧仪;天津自贸区;流感;智能医疗;AI应用;京津冀一体化;医疗器械概念;创投;回购增持再贷款概念;智能穿戴;人民币贬值受益;跨境电商;养老概念;小米概念;深股通;融资融券
002821.SZ,9,002821,33,减肥药;CRO概念;创新药;合成生物;智能医疗;人民币贬值受益;京津冀一体化;深股通;融资融券
605289.SH,17,605289,17,液冷服务器;智慧灯杆;风电;数据中心;空间计算;东数西算(算力);新能源汽车;换电概念;储能;智慧城市;虚拟现实;人工智能;DeepSeek概念;元宇宙;IP经济(谷子经济);沪股通;股权转让(并购重组)
603687.SH,14,603687,17,钙钛矿电池;数字水印;AIGC概念;ChatGPT概念;数字孪生;DeepSeek概念;光伏概念;人工智能;芯片概念;烟草;工业互联网;共同富裕示范区;物联网;锂电池概念
603778.SH,11,603778,17,HJT电池;TOPCON电池;钙钛矿电池;硅能源;虚拟电厂;PPP概念;新型城镇化;光伏概念;储能;固态电池;锂电池概念
002730.SZ,15,002730,33,算力租赁;东数西算(算力);电力物联网;数据中心;鸿蒙概念;物联网;华为概念;人工智能;卫星导航;军工;工业互联网;3D打印;机器人概念;新能源汽车;深股通
603985.SH,11,603985,17,算力租赁;东数西算(算力);英伟达概念;DeepSeek概念;核电;风电;海工装备;高端装备;国企改革;融资融券;沪股通
600666.SH,19,600666,17,算力租赁;数据确权;云计算;东数西算(算力);Sora概念(文生视频);AIGC概念;数据要素;AI智能体;DeepSeek概念;蚂蚁集团概念;人工智能;OLED;黑龙江自贸区;高端装备;比亚迪概念;新疆振兴;AI应用;短剧游戏;沪股通
688158.SH,30,688158,17,算力租赁;云游戏;智谱AI;华为昇腾;云计算;中国AI 50;数据安全;财税数字化;东数西算(算力);信创;智慧政务;AI智能体;数据中心;数据要素;数字乡村;DeepSeek概念;液冷服务器;智慧城市;商业航天;数字经济;华为概念;脑机接口;智能医疗;人工智能;工业互联网;低空经济;无人驾驶;专精特新;机器人概念;融资融券
002940.SZ,10,002940,33,幽门螺杆菌概念;创新药;仿制药一致性评价;宠物经济;合成生物;共同富裕示范区;维生素;MR(混合现实);回购增持再贷款概念;深股通
