market_code,股票代码,所属概念数量,所属概念,code
17,603061.SH,4,芯片概念;2025年报预增;专精特新;沪股通,603061
17,603688.SH,6,光纤概念;存储芯片;芯片概念;光伏概念;沪股通;融资融券,603688
33,002300.SZ,9,特高压;风电;核电;海工装备;充电桩;光伏概念;军工;海峡两岸;融资融券,002300
33,002606.SZ,7,特高压;虚拟电厂;储能;绿色电力;专精特新;一带一路;融资融券,002606
17,600488.SH,6,仿制药一致性评价;创新药;辅助生殖;京津冀一体化;数字经济;沪股通,600488
17,603320.SH,2,空气能热泵;家用电器,603320
17,603331.SH,7,人形机器人;家用电器;机器人概念;共同富裕示范区;新能源汽车;TOPCON电池;光伏概念,603331
33,002498.SZ,17,柔性直流输电;电力物联网;抽水蓄能;特高压;智能电网;风电;核电;充电桩;海工装备;数字经济;无人机;燃料电池;一带一路;氢能源;5G;深股通;融资融券,002498
33,002560.SZ,24,柔性直流输电;特高压;智能电网;成飞概念;海工装备;风电;大飞机;充电桩;军工;数据中心;光伏概念;军民融合;专精特新;医疗器械概念;雅下水电概念;无人机;储能;新能源汽车;机器人概念;一带一路;2025年报预增;碳中和;2026一季报预增;融资融券,002560
17,603037.SH,13,华为汽车;长安汽车概念;专精特新;小米汽车;无人驾驶;同花顺新质50;特斯拉概念;小米概念;新能源汽车;比亚迪概念;储能;氢能源;股权转让(并购重组),603037
33,002428.SZ,13,光纤概念;第三代半导体;芯片概念;商业航天;卫星导航;小金属概念;光伏概念;军工;华为概念;氟化工概念;西部大开发;深股通;融资融券,002428
33,000006.SZ,8,深圳国企改革;新型城镇化;物业管理;粤港澳大湾区;国企改革;证金持股;深股通;融资融券,000006
17,603186.SH,17,PCB概念;先进封装;消费电子概念;5G;芯片概念;MiniLED;6G概念;毫米波雷达;固态电池;华为概念;石墨烯;锂电池概念;海峡两岸;储能;冷链物流;绿色电力;沪股通,603186
33,001259.SZ,3,净水概念;家用电器;露营经济,001259
33,002552.SZ,9,PCB概念;黄金概念;汽车电子;5G;2026一季报预增;国企改革;互联网金融;股权转让(并购重组);深股通,002552
17,600869.SH,44,光纤概念;PET铜箔;铜缆高速连接;超导概念;液冷服务器;芯片概念;柔性直流输电;特高压;可控核聚变;数据中心;商业航天;智能电网;东数西算(算力);特斯拉概念;华为概念;光伏概念;核电;新能源汽车;高端装备;海工装备;军工;人形机器人;充电桩;宁德时代概念;无人机;固态电池;储能;机器人概念;风电;锂电池概念;军民融合;低空经济;雅下水电概念;独角兽概念;阿里巴巴概念;钠离子电池;人工智能;智慧城市;DeepSeek概念;回购增持再贷款概念;西部大开发;参股银行;沪股通;融资融券,600869
33,002346.SZ,9,2025年报预增;创投;锂电池概念;DeepSeek概念;中芯国际概念;回购增持再贷款概念;参股银行;深股通;融资融券,002346
33,000672.SZ,9,储能;一带一路;创投;西部大开发;水泥概念;绿色电力;高股息精选;深股通;融资融券,000672
33,002787.SZ,8,液冷服务器;锂电池概念;芯片概念;长三角一体化;食品安全;2025年报预增;创投;海峡两岸,002787
33,002491.SZ,13,光纤概念;5G;数据中心;专精特新;储能;长三角一体化;独角兽概念;数字水印;网络安全;数据安全;固态电池;深股通;融资融券,002491
33,002918.SZ,4,创投;智能家居;数据中心;深股通,002918
33,002254.SZ,15,固态电池;锂电池概念;智能穿戴;氢能源;高铁;国企改革;新能源汽车;军工;无人机;机器人概念;东数西算(算力);光纤概念;军民融合;深股通;融资融券,002254
33,000591.SZ,17,虚拟电厂;绿色电力;碳交易;光伏建筑一体化;碳中和;钙钛矿电池;储能;光伏概念;TOPCON电池;央企国企改革;国企改革;工业互联网;西部大开发;DeepSeek概念;机器人概念;深股通;融资融券,000591
33,002522.SZ,10,专精特新;传感器;PVDF概念;华为概念;5G;共同富裕示范区;长三角一体化;光纤概念;国企改革;融资融券,002522
33,300877.SZ,4,创投;2025年报预增;储能;融资融券,300877
33,000767.SZ,9,超超临界发电;绿色电力;碳交易;风电;碳中和;国企改革;2025年报预增;深股通;融资融券,000767
17,688785.SH,6,科创次新股;中芯国际概念;芯片概念;注册制次新股;新股与次新股;融资融券,688785
17,688308.SH,11,PCB概念;工业母机;2026一季报预增;专精特新;2025年报预增;人形机器人;航空发动机;商业航天;机器人概念;光伏概念;融资融券,688308
17,688668.SH,13,英伟达概念;铜缆高速连接;液冷服务器;光纤概念;5G;机器视觉;商业航天;比亚迪概念;新能源汽车;2025年报预增;长安汽车概念;融资融券;沪股通,688668
17,688109.SH,19,雅下水电概念;水利;机器人概念;无人驾驶;共同富裕示范区;物业管理;机器视觉;人工智能;数字经济;智能穿戴;AI眼镜;数字孪生;DeepSeek概念;AIGC概念;数据要素;AI智能体;华为昇腾;沪股通;融资融券,688109
33,300283.SZ,15,工业母机;PCB概念;消费电子概念;比亚迪概念;第三代半导体;专精特新;新能源汽车;芯片概念;锂电池概念;数据中心;固态电池;储能;智能电网;医疗器械概念;光伏建筑一体化,300283
17,688150.SH,8,PCB概念;OLED;柔性屏(折叠屏);专精特新;钙钛矿电池;西部大开发;沪股通;融资融券,688150
33,301059.SZ,3,专精特新;有机硅概念;融资融券,301059
33,300260.SZ,10,中芯国际概念;光刻机;芯片概念;OLED;液冷服务器;数据中心;海峡两岸;食品安全;融资融券;深股通,300260
33,300983.SZ,2,新型城镇化;融资融券,300983
17,688478.SH,10,存储芯片;华为海思概念股;第三代半导体;芯片概念;比亚迪概念;专精特新;光伏概念;海峡两岸;股权转让(并购重组);融资融券,688478
17,688611.SH,16,电力物联网;传感器;物联网;芯片概念;人形机器人;机器人概念;存储芯片;智能电网;区块链;特高压;光伏概念;储能;虚拟电厂;钙钛矿电池;沪股通;融资融券,688611
33,301361.SZ,9,智能电网;虚拟电厂;数据中心;储能;传感器;专精特新;锂电池概念;海工装备;融资融券,301361
17,688205.SH,10,共封装光学(CPO);F5G概念;光纤概念;5G;芯片概念;数据中心;专精特新;东数西算(算力);沪股通;融资融券,688205
17,688813.SH,15,PET铜箔;科创次新股;PCB概念;共封装光学(CPO);军工;锂电池概念;注册制次新股;比亚迪概念;华为概念;核电;氢能源;西部大开发;国企改革;新股与次新股;融资融券,688813
17,688603.SH,5,先进封装;PCB概念;芯片概念;沪股通;融资融券,688603
33,300444.SZ,36,柔性直流输电;智能电网;电力物联网;虚拟电厂;风电;华为数字能源;高压快充;充电桩;换电概念;数据中心;海工装备;光伏概念;储能;东数西算(算力);绿色电力;光伏建筑一体化;工业互联网;高端装备;碳中和;华为概念;数字孪生;人工智能;长安汽车概念;新能源汽车;数字经济;机器人概念;比亚迪概念;2025年报预增;京津冀一体化;钒电池;一带一路;锂电池概念;新疆振兴;固态电池;股权转让(并购重组);深股通,300444
33,301172.SZ,36,共封装光学(CPO);光纤概念;数据中心;华为昇腾;华为概念;空间计算;网络安全;物联网;腾讯概念;信创;安防;AIGC概念;海峡两岸;华为鲲鹏;智慧政务;时空大数据;鸿蒙概念;AI智能体;AI应用;智慧城市;机器人概念;数据要素;区块链;人工智能;低空经济;军工;数字乡村;DeepSeek概念;数字经济;智能医疗;水利;新型城镇化;乡村振兴;地下管网;西部大开发;融资融券,301172
