code,market_code,股票代码,所属概念,所属概念数量
603010,17,603010.SH,磷化工;锂电池概念;合成生物;新能源汽车;比亚迪概念;芯片概念;融资融券;沪股通,8
600084,17,600084.SH,化债概念(AMC概念);农业种植;新疆振兴;乡村振兴;白酒概念;国企改革;西部大开发;中字头股票;沪股通,9
600313,17,600313.SH,转基因;玉米;大豆;粮食概念;土地流转;农业种植;化肥;乡村振兴;国企改革;央企国企改革;一带一路;2025年报预增;沪股通;融资融券,14
002491,33,002491.SZ,光纤概念;数字水印;网络安全;数据安全;独角兽概念;数据中心;5G;长三角一体化;专精特新;储能;固态电池;深股通;融资融券,13
688737,17,688737.SH,碳纤维;固态电池;专精特新;燃料电池;新能源汽车;钠离子电池;储能;氢能源;长安汽车概念;西部大开发;融资融券,11
300863,33,300863.SZ,华为汽车;特斯拉概念;新能源汽车;储能;小米汽车;人形机器人;长安汽车概念;铜缆高速连接;机器人概念;数据中心;深股通;融资融券,12
301205,33,301205.SZ,共封装光学(CPO);芯片概念;5G;数据中心;人民币贬值受益;深股通;融资融券,7
688212,17,688212.SH,医疗器械概念;回购增持再贷款概念;沪股通;融资融券,4
688766,17,688766.SH,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通,8
301396,33,301396.SZ,ChatGPT概念;云计算;财税数字化;算力租赁;多模态AI;AI智能体;智慧政务;腾讯概念;信创;东数西算(算力);MR(混合现实);数据要素;空间计算;数据中心;DeepSeek概念;数字经济;华为概念;人工智能;安防;智慧城市;职业教育;物联网;智能医疗;AI应用;专精特新;智能物流;旅游概念;乡村振兴;新型城镇化;深股通;融资融券,31
920045,151,920045.BJ,2025年报预增;粤港澳大湾区;无人驾驶;数据中心;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益,9
688785,17,688785.SH,中芯国际概念;芯片概念;注册制次新股;科创次新股;新股与次新股;融资融券,6
300721,33,300721.SZ,环氧丙烷;染料;光刻胶;锂电池概念;OLED;新能源汽车,6
688411,17,688411.SH,固态电池;华为数字能源;智能电网;储能;充电桩;专精特新;数据中心;智能物流;华为概念;DeepSeek概念;融资融券,11
688796,17,688796.SH,AI智能体;科创次新股;CRO概念;基因测序;人民币贬值受益;2025年报预增;注册制次新股;沪股通;新股与次新股;融资融券,10
301336,33,301336.SZ,人工智能;华为概念;智能家居;小米概念;露营经济;小米汽车;西部大开发;融资融券,8
600499,17,600499.SH,盐湖提锂;锂电池概念;宁德时代概念;储能;光伏建筑一体化;充电桩;同花顺出海50;人民币贬值受益;沪股通;融资融券;一带一路;海工装备;高端装备;机器人概念;新型工业化,15
600916,17,600916.SH,黄金概念;培育钻石;同花顺中特估100;回购增持再贷款概念;央企国企改革;国企改革;中字头股票;沪股通;融资融券,9
300528,33,300528.SZ,短剧游戏;文化传媒概念;国企改革;深股通,4
600963,17,600963.SH,生物质能发电;污水处理;国企改革;PPP概念;碳中和;雄安新区;碳交易;央企国企改革;DeepSeek概念;人工智能;沪股通;融资融券,12
688195,17,688195.SH,共封装光学(CPO);光刻机;光纤概念;量子科技;AI眼镜;芯片概念;数据中心;商业航天;海峡两岸;卫星导航;华为概念;福建自贸区;独角兽概念;无人驾驶;专精特新;医疗器械概念;沪股通;股权转让(并购重组);融资融券,19
603163,17,603163.SH,中芯国际概念;芯片概念;富士康概念;海峡两岸;一带一路,5
600356,17,600356.SH,烟草;黑龙江自贸区;国企改革;2025年报预增,4
688210,17,688210.SH,3D打印;苹果概念;无人机;柔性屏(折叠屏);消费电子概念;AI眼镜;智能穿戴;专精特新;回购增持再贷款概念;人民币贬值受益;沪股通;融资融券,12
603926,17,603926.SH,农机;长安汽车概念;燃料电池;机器人概念;新能源汽车,5
300016,33,300016.SZ,脑机接口;阿尔茨海默概念;基因测序;创新药;医药电商;智能医疗;仿制药一致性评价;AI应用;人工智能;京津冀一体化;独角兽概念;创投;专精特新;2025年报预增,14
920438,151,920438.BJ,商业航天;无人驾驶;6G概念;芯片概念;消费电子概念;核污染防治;海工装备;专精特新;比亚迪概念;军工;核电;先进封装;融资融券,13
688017,17,688017.SH,减速器;人形机器人;同花顺新质50;新型工业化;机器人概念;专精特新;中国AI 50;2025年报预增;沪股通;融资融券,10
688155,17,688155.SH,固态电池;宁德时代概念;2025年报预增;锂电池概念;专精特新;新型工业化;新能源汽车;机器人概念;燃料电池;人工智能;高端装备;DeepSeek概念;一带一路;沪股通;融资融券,15
301326,33,301326.SZ,富士康概念;苹果概念;液冷服务器;消费电子概念;芯片概念;宁德时代概念;比亚迪概念;固态电池;3D打印;锂电池概念;人民币贬值受益;无人机;深股通;融资融券,14
002837,33,002837.SZ,液冷服务器;英伟达概念;中国AI 50;数据中心;比亚迪概念;新能源汽车;东数西算(算力);储能;华为概念;充电桩;军工;高铁;家用电器;粤港澳大湾区;抖音概念(字节概念);阿里巴巴概念;腾讯概念;冷链物流;融资融券;深股通,20
300700,33,300700.SZ,第三代半导体;光伏概念;光刻胶;消费电子概念;专精特新;芯片概念;燃料电池;氢能源;机器人概念;融资融券,10
688380,17,688380.SH,MCU芯片;汽车芯片;存储芯片;芯片概念;2025年报预增;消费电子概念;汽车电子;传感器;小米概念;专精特新;人形机器人;机器人概念;长安汽车概念;华为汽车;沪股通;融资融券,16
002767,33,002767.SZ,传感器;新型工业化;水利;机器人概念;物联网;毫米波雷达;芯片概念;华为概念;智慧城市;DeepSeek概念,10
688071,17,688071.SH,华为汽车;长安汽车概念;无人机;比亚迪概念;无人驾驶;机器人概念;人形机器人;车联网(车路协同);专精特新;新能源汽车;高端装备;宁德时代概念;燃料电池;融资融券,14
300471,33,300471.SZ,成飞概念;氢能源;燃料电池;天然气;中俄贸易概念;军工;一带一路;西部大开发;页岩气;创投;专精特新;物联网;融资融券,13
603499,17,603499.SH,存储芯片;芯片概念;烟草;上海自贸区;2025年报预增;2025三季报预增;工业互联网;创投;沪股通,9
688419,17,688419.SH,先进封装;存储芯片;芯片概念;高端装备;人民币贬值受益;绿色电力;融资融券,7
301183,33,301183.SZ,共封装光学(CPO);F5G概念;华为手机;消费电子概念;6G概念;汽车电子;专精特新;小米概念;2025年报预增;无人驾驶;华为概念;虚拟现实;深股通;融资融券,14
002809,33,002809.SZ,环氧丙烷;丙烯酸;装配式建筑;雄安新区;雅下水电概念;粤港澳大湾区;水利;京津冀一体化;专精特新,9
920640,151,920640.BJ,2025年报预增;军工;铜缆高速连接;无人机;卫星导航;融资融券;西部大开发;商业航天;华为概念;毫米波雷达;量子科技;芯片概念;国企改革;央企国企改革;军民融合;5G;军工信息化;低空经济;专精特新,19
688048,17,688048.SH,共封装光学(CPO);光纤概念;汽车芯片;可控核聚变;第三代半导体;芯片概念;商业航天;数据中心;华为概念;专精特新;无人驾驶;医美概念;沪股通;融资融券,14
