code,所属概念数量,股票代码,market_code,所属概念
301292,8,301292.SZ,33,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券
600063,8,600063.SH,17,水泥概念;光伏概念;2025三季报预增;国企改革;专精特新;参股券商;融资融券;沪股通
002155,10,002155.SZ,33,金属锌;黄金概念;金属铅;小金属概念;2025年报预增;乡村振兴;国企改革;深股通;股权转让(并购重组);融资融券
688277,6,688277.SH,17,智能医疗;医疗器械概念;专精特新;机器人概念;沪股通;融资融券
300164,8,300164.SZ,33,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益
688312,11,688312.SH,17,苹果概念;PCB概念;消费电子概念;芯片概念;5G;专精特新;传感器;机器视觉;粤港澳大湾区;人工智能;融资融券
301387,10,301387.SZ,33,苹果概念;消费电子概念;智能穿戴;碳纤维;机器人概念;粤港澳大湾区;一带一路;数字经济;可降解塑料;融资融券
002378,7,002378.SZ,33,金属铜;小金属概念;2025年报预增;工业母机;深股通;融资融券;军工
000415,9,000415.SZ,33,新疆振兴;参股保险;雄安新区;西部大开发;人民币贬值受益;低空经济;飞行汽车(eVTOL);深股通;融资融券
300666,12,300666.SZ,33,中芯国际概念;存储芯片;光刻机;OLED;芯片概念;第三代半导体;光伏概念;碳纤维;共同富裕示范区;深股通;海峡两岸;融资融券
920088,6,920088.BJ,151,空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发
688726,10,688726.SH,17,BC电池;钙钛矿电池;TOPCON电池;光伏概念;第三代半导体;芯片概念;专精特新;比亚迪概念;沪股通;融资融券
603730,8,603730.SH,17,新能源汽车;特斯拉概念;长安汽车概念;比亚迪概念;人民币贬值受益;上海自贸区;沪股通;融资融券
603958,7,603958.SH,17,DeepSeek概念;海峡两岸;华为概念;机器人概念;消费电子概念;3D打印;股权转让(并购重组)
920471,7,920471.BJ,151,基因测序;NMN概念;环氧丙烷;融资融券;合成生物;京津冀一体化;可降解塑料
301004,7,301004.SZ,33,三胎概念;C2M概念;跨境电商;人民币贬值受益;回购增持再贷款概念;深股通;融资融券
301040,10,301040.SZ,33,卫星导航;商业航天;军工;专精特新;高端装备;核电;人民币贬值受益;风电;绿色电力;融资融券
300812,15,300812.SZ,33,MicroLED概念;MiniLED;共封装光学(CPO);柔性屏(折叠屏);MR(混合现实);先进封装;消费电子概念;第三代半导体;OLED;芯片概念;华为概念;商业航天;专精特新;工业母机;医疗器械概念
688516,13,688516.SH,17,BC电池;钙钛矿电池;TOPCON电池;光伏概念;高端装备;芯片概念;共封装光学(CPO);固态电池;机器视觉;储能;锂电池概念;沪股通;融资融券
002916,18,002916.SZ,33,PCB概念;富士康概念;存储芯片;国家大基金持股;先进封装;苹果概念;汽车电子;5G;2025年报预增;芯片概念;数据中心;新能源汽车;华为概念;粤港澳大湾区;深股通;央企国企改革;国企改革;融资融券
601869,22,601869.SH,17,光纤概念;铜缆高速连接;共封装光学(CPO);特高压;第三代半导体;智能电网;风电;芯片概念;5G;新能源汽车;海工装备;专精特新;沪股通;人形机器人;一带一路;量子科技;太赫兹;机器人概念;工业互联网;创投;抖音概念(字节概念);融资融券
603232,32,603232.SH,17,量子科技;军工信息化;电子身份证;网络安全;华为鲲鹏;数字货币;移动支付;数据安全;云办公;智慧政务;Web3.0;信创;AI智能体;云计算;鸿蒙概念;车联网(车路协同);区块链;军工;智慧城市;阿里巴巴概念;无人机;百度概念;低空经济;汽车芯片;华为概念;MCU芯片;DeepSeek概念;人工智能;芯片概念;专精特新;一带一路;新疆振兴
002342,15,002342.SZ,33,商业航天;海工装备;军工;京津冀一体化;水利;核电;雄安新区;高端装备;一带一路;光伏概念;风电;抽水蓄能;白酒概念;深股通;融资融券
301550,11,301550.SZ,33,减速器;人形机器人;新能源汽车;机器人概念;专精特新;人民币贬值受益;农机;工业互联网;数字经济;深股通;融资融券
603755,2,603755.SH,17,人工智能;预制菜
001209,5,001209.SZ,33,IP经济(谷子经济);数字经济;跨境电商;三胎概念;粤港澳大湾区
