所属概念数量,code,股票代码,所属概念,market_code
9,002759,002759.SZ,氟化工概念;磷化工;钠离子电池;固态电池;锂电池概念;宁德时代概念;家用电器;比亚迪概念;ST板块,33
7,920926,920926.BJ,鸿蒙概念;物联网;智能家居;融资融券;家用电器;跨境电商;人民币贬值受益,151
7,920088,920088.BJ,一带一路;空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,151
14,920509,920509.BJ,共封装光学(CPO);比亚迪概念;高端装备;军工;芯片概念;消费电子概念;汽车芯片;机器人概念;专精特新;人形机器人;第三代半导体;融资融券;高压快充;华为概念,151
7,920018,920018.BJ,柔性直流输电;水利;数字经济;特高压;新能源汽车;新股与次新股;融资融券,151
9,600058,600058.SH,小金属概念;乡村振兴;央企国企改革;统一大市场;国企改革;一带一路;融资融券;股权转让(并购重组);沪股通,17
2,920079,920079.BJ,新股与次新股;融资融券,151
18,002235,002235.SZ,Web3.0;知识产权保护;NFT概念;文化传媒概念;数据确权;数据要素;区块链;体育产业;独角兽概念;物业管理;网络安全;蚂蚁集团概念;福建自贸区;海峡两岸;比亚迪概念;深股通;股权转让(并购重组);融资融券,33
11,603330,603330.SH,芯片概念;共封装光学(CPO);消费电子概念;汽车电子;光伏概念;POE胶膜;华为概念;比亚迪概念;专精特新;股权转让(并购重组);融资融券,17
8,920009,920009.BJ,专精特新;基因测序;猴痘概念;流感;宠物经济;人工智能;新股与次新股;融资融券,151
19,002582,002582.SZ,预制菜;农业种植;IP经济(谷子经济);人造肉;网红经济;生态农业;啤酒概念;参股银行;旅游概念;乡村振兴;跨境电商;职业教育;高股息精选;新疆振兴;特色小镇;创投;智能物流;海峡两岸;深股通,33
24,600733,600733.SH,一体化压铸;华为汽车;网约车;京津冀一体化;车联网(车路协同);DeepSeek概念;无人驾驶;小米汽车;燃料电池;百度概念;国企改革;换电概念;星闪概念;新能源汽车;智能座舱;动力电池回收;华为概念;充电桩;储能;固态电池;高压快充;汽车芯片;沪股通;融资融券,17
