股票代码,market_code,code,所属概念数量,所属概念
002115.SZ,33,002115,26,智慧灯杆;卫星导航;华为概念;专精特新;5G;智慧城市;信创;海工装备;腾讯概念;阿里巴巴概念;6G概念;AIGC概念;抖音概念(字节概念);人工智能;小红书概念;AI应用;快手概念;虚拟数字人;创投;短剧游戏;文化传媒概念;共同富裕示范区;网红经济;2026中报预增;深股通;融资融券
601608.SH,17,601608,24,大飞机;国产航母;高端装备;新型工业化;商业航天;军工;工业互联网;机器人概念;一体化压铸;人工智能;减速器;核电;海工装备;人形机器人;一带一路;华为概念;风电;国企改革;光伏概念;F5G概念;同花顺中特估100;融资融券;沪股通;中字头股票
603578.SH,17,603578,3,共同富裕示范区;专精特新;光伏概念
002828.SZ,33,002828,10,俄乌冲突概念;页岩气;天然气;煤化工概念;新疆振兴;参股银行;西部大开发;碳中和;一带一路;股权转让(并购重组)
002606.SZ,33,002606,9,虚拟电厂;特高压;绿色电力;储能;一带一路;专精特新;2026中报预增;深股通;融资融券
002342.SZ,33,002342,17,海工装备;高端装备;军工;商业航天;水利;京津冀一体化;雄安新区;一带一路;核电;风电;光伏概念;抽水蓄能;白酒概念;足球概念;体育产业;深股通;融资融券
600428.SH,17,600428,13,中字头股票;高股息精选;航运概念;自由贸易港;国企改革;央企国企改革;人民币贬值受益;DeepSeek概念;粤港澳大湾区;沪股通;比亚迪概念;2026中报预增;融资融券
002774.SZ,33,002774,6,中俄贸易概念;一带一路;粤港澳大湾区;人工智能;物联网;高股息精选
002623.SZ,33,002623,11,钙钛矿电池;建筑节能;POE胶膜;光伏概念;光伏建筑一体化;一带一路;储能;特斯拉概念;绿色电力;玻璃基板;融资融券
600410.SH,17,600410,33,云计算;网络安全;东数西算(算力);华为鲲鹏;信创;智慧政务;百度概念;抖音概念(字节概念);阿里巴巴概念;数据中心(AIDC);腾讯概念;AI智能体;时空大数据;数据要素;AIGC概念;元宇宙;区块链;AI应用;华为概念;智慧城市;安防;在线教育;DeepSeek概念;人工智能;军工;工业互联网;芯片概念;无线耳机;京津冀一体化;创投;一带一路;沪股通;融资融券
002544.SZ,33,002544,30,军民融合;卫星导航;商业航天;军工;低空经济;6G概念;网络安全;数字乡村;物联网;智慧城市;东数西算(算力);华为概念;数字孪生;数据中心(AIDC);机器人概念;数据要素;水利;横琴新区;农机;一带一路;5G;粤港澳大湾区;储能;雄安新区;汽车电子;国企改革;乡村振兴;PCB概念;深股通;融资融券
002361.SZ,33,002361,16,航空发动机;卫星导航;军民融合;高铁;商业航天;高端装备;低空经济;军工;3D打印;无人机;污水处理;石墨烯;国企改革;深股通;股权转让(并购重组);融资融券
000810.SZ,33,000810,46,鸿蒙概念;空间计算;智能家居;人工智能;文化传媒概念;在线教育;AIGC概念;星闪概念;安防;数字经济;ChatGPT概念;数据要素;物联网;元宇宙;短剧游戏;长安汽车概念;Web3.0;百度概念;家用电器;虚拟现实;腾讯概念;智能音箱;华为概念;西部大开发;MR(混合现实);智能座舱;小米概念;无人机;眼科医疗;储能;智能穿戴;数据中心(AIDC);柔性屏(折叠屏);汽车电子;消费电子概念;5G;AI眼镜;华为海思概念股;WiFi 6;芯片概念;F5G概念;MiniLED;OLED;深股通;2026中报预增;融资融券
603559.SH,17,603559,6,时空大数据;云计算;数据中心(AIDC);东数西算(算力);5G;摘帽
603223.SH,17,603223,5,天然气;航运概念;2026中报预增;沪股通;融资融券
000933.SZ,33,000933,10,俄乌冲突概念;煤炭概念;国企改革;2026一季报预增;锂电池概念;宁德时代概念;深股通;风电;2026中报预增;融资融券
600992.SH,17,600992,6,国企改革;国产航母;西部大开发;海工装备;军工;商业航天
002317.SZ,33,002317,20,禽流感;猴痘概念;减肥药;幽门螺杆菌概念;肝炎概念;流感;辅助生殖;仿制药一致性评价;创新药;医药电商;眼科医疗;维生素;NMN概念;智能医疗;医疗器械概念;养老概念;数字经济;粤港澳大湾区;深股通;融资融券
603898.SH,17,603898,2,IP经济(谷子经济);智能家居
600513.SH,17,600513,8,仿制药一致性评价;创新药;流感;禽流感;国企改革;专精特新;沪股通;股权转让(并购重组)
600879.SH,17,600879,20,太赫兹;军工信息化;卫星导航;军民融合;商业航天;军工;无人机;低空经济;高端装备;物联网;量子科技;特高压;传感器;京津冀一体化;央企国企改革;医疗器械概念;芯片概念;国企改革;沪股通;融资融券
601858.SH,17,601858,14,国资云;知识产权保护;中字头股票;在线教育;文化传媒概念;数据要素;DeepSeek概念;数字经济;国企改革;智能医疗;芯片概念;同花顺中特估100;沪股通;融资融券
603538.SH,17,603538,11,减肥药;CRO概念;流感;肝炎概念;宠物经济;合成生物;辅助生殖;人民币贬值受益;机器人概念;沪股通;融资融券
002144.SZ,33,002144,8,共同富裕示范区;医疗器械概念;长三角一体化;互联网金融;碳纤维;机器人概念;新能源汽车;比亚迪概念
600113.SH,17,600113,13,预制菜;统一大市场;参股银行;乡村振兴;冷链物流;中俄贸易概念;国企改革;共同富裕示范区;人工智能;智能医疗;长三角一体化;融资融券;沪股通
002865.SZ,33,002865,8,钙钛矿电池;TOPCON电池;BC电池;商业航天;光伏概念;海南自贸区;融资融券;深股通
603110.SH,17,603110,7,算力租赁;东数西算(算力);PCB概念;数据中心(AIDC);AIGC概念;DeepSeek概念;石墨烯
000920.SZ,33,000920,11,盐湖提锂;芯片概念;液冷服务器;央企国企改革;净水概念;西部大开发;污水处理;参股银行;国企改革;参股券商;深股通
600629.SH,17,600629,21,上海国企改革;装配式建筑;房屋检测;一带一路;新型城镇化;低空经济;数字孪生;人工智能;创投;水利;建筑节能;地下管网;数字经济;PPP概念;雄安新区;乡村振兴;参股券商;国企改革;碳中和;融资融券;沪股通
603698.SH,17,603698,10,军民融合;军工;高端装备;核电;氢能源;碳中和;国企改革;煤化工概念;沪股通;融资融券
601698.SH,17,601698,12,商业航天;军工;低空经济;6G概念;同花顺新质50;央企国企改革;一带一路;国企改革;中字头股票;同花顺中特估100;沪股通;融资融券
603127.SH,17,603127,9,CRO概念;细胞免疫治疗;创新药;生物疫苗;基因测序;智能医疗;专精特新;融资融券;沪股通
603286.SH,17,603286,16,人形机器人;智能座舱;新型工业化;长安汽车概念;传感器;无人驾驶;机器人概念;比亚迪概念;汽车电子;新能源汽车;专精特新;智能家居;工业互联网;PM2.5;芯片概念;沪股通
600072.SH,17,600072,16,中船系;国产航母;PPP概念;国企改革;海工装备;央企国企改革;氢能源;绿色电力;风电;高端装备;同花顺中特估100;储能;工业互联网;沪股通;中字头股票;融资融券
000620.SZ,33,000620,13,短剧游戏;数据要素;AI智能体;存储芯片;京津冀一体化;芯片概念;体育产业;IP经济(谷子经济);旅游概念;乡村振兴;参股银行;深股通;数据中心(AIDC)
600685.SH,17,600685,17,中船系;国产航母;央企国企改革;海工装备;军民融合;国企改革;风电;军工;粤港澳大湾区;工业互联网;商业航天;同花顺中特估100;数据中心(AIDC);2026一季报预增;沪股通;中字头股票;融资融券
002038.SZ,33,002038,20,仿制药一致性评价;创新药;医药电商;减肥药;流感;幽门螺杆菌概念;肝炎概念;生物疫苗;辅助生殖;猴痘概念;医美概念;民营医院;基因测序;NMN概念;工业大麻;国企改革;京津冀一体化;创投;深股通;融资融券
603162.SH,17,603162,7,航运概念;统一大市场;福建自贸区;海峡两岸;人民币贬值受益;2026中报预增;沪股通
600343.SH,17,600343,13,军民融合;大飞机;商业航天;军工;高端装备;水利;央企国企改革;西部大开发;国企改革;氢能源;煤化工概念;沪股通;融资融券
605598.SH,17,605598,8,卫星导航;商业航天;无人机;钙钛矿电池;人民币贬值受益;一带一路;土壤修复;沪股通
002219.SZ,33,002219,13,民营医院;养老概念;三胎概念;西部大开发;智能医疗;创新药;AI应用;DeepSeek概念;人工智能;AI智能体;机器人概念;深股通;融资融券
000887.SZ,33,000887,28,减速器;人形机器人;汽车热管理;特斯拉概念;毫米波雷达;华为汽车;长安汽车概念;新能源汽车;机器人概念;传感器;无人驾驶;飞行汽车(eVTOL);比亚迪概念;军工;高铁;汽车电子;低空经济;无人机;宁德时代概念;燃料电池;液冷服务器;充电桩;医疗器械概念;数据中心(AIDC);储能;算力租赁;深股通;融资融券
000901.SZ,33,000901,27,军民融合;军工;卫星导航;商业航天;无人机;数字孪生;车联网(车路协同);智慧城市;工业互联网;京津冀一体化;中俄贸易概念;物联网;一带一路;无人驾驶;智能物流;新能源汽车;智能电网;黑龙江自贸区;传感器;人民币贬值受益;央企国企改革;国企改革;智能座舱;汽车电子;俄乌冲突概念;深股通;融资融券
002693.SZ,33,002693,7,辅助生殖;CRO概念;阿尔茨海默概念;肝炎概念;仿制药一致性评价;海南自贸区;摘帽
002970.SZ,33,002970,24,汽车电子;智能座舱;数据中心(AIDC);EDR概念;专精特新;机器视觉;毫米波雷达;比亚迪概念;无人驾驶;新能源汽车;星闪概念;卫星导航;人脸识别;车联网(车路协同);云计算;物联网;粤港澳大湾区;多模态AI;人工智能;鸿蒙概念;垃圾分类;智能物流;一带一路;深股通
603236.SH,17,603236,47,英伟达概念;无人零售;卫星导航;商业航天;智能座舱;毫米波雷达;人形机器人;农机;机器视觉;无人驾驶;车联网(车路协同);移动支付;长安汽车概念;6G概念;星闪概念;机器人概念;AI智能体;智慧城市;AI应用;两轮车;数字乡村;电力物联网;东数西算(算力);智能电网;工业互联网;物联网;人工智能;充电桩;DeepSeek概念;区块链;汽车电子;小米概念;数字货币;智能穿戴;智能家居;智能医疗;5G;AI眼镜;WiFi 6;人民币贬值受益;芯片概念;跨境电商;华为海思概念股;储能;MCU芯片;融资融券;沪股通
605178.SH,17,605178,11,存储芯片;智慧灯杆;芯片概念;网约车;空间计算;物联网;新型城镇化;智慧城市;数据要素;沪股通;股权转让(并购重组)
