code,股票代码,所属概念,market_code,所属概念数量
600186,600186.SH,AI智能体;DeepSeek概念;算力租赁;东数西算(算力);智能医疗;土壤修复;粮食概念;回购增持再贷款概念;2025三季报预增;超级品牌;融资融券;沪股通,17,12
300017,300017.SZ,算力租赁;虚拟数字人;云计算;AIGC概念;多模态AI;AI智能体;在线教育;元宇宙;华为鲲鹏;数据安全;网络安全;东数西算(算力);信创;DeepSeek概念;数字经济;人工智能;数据中心;阿尔茨海默概念;液冷服务器;一带一路;深股通;融资融券;人民币贬值受益,33,23
301026,301026.SZ,黄金概念;小金属概念;金属回收;融资融券,33,4
301252,301252.SZ,汽车热管理;液冷服务器;空气能热泵;新能源汽车;长安汽车概念;数据中心;专精特新;冷链物流;融资融券,33,9
688229,688229.SH,华为鲲鹏;信创;数据安全;云计算;数据要素;鸿蒙概念;抖音概念(字节概念);百度概念;腾讯概念;阿里巴巴概念;互联网金融;数字经济;东数西算(算力);DeepSeek概念;人工智能;华为概念;工业互联网;数据中心;AI应用;融资融券,17,20
000688,000688.SZ,金属铅;金属锌;钛白粉概念;金属铜;小金属概念;黄金概念;锂电池概念;2025年报预增;西部大开发;深股通;股权转让(并购重组);融资融券,33,12
688519,688519.SH,共封装光学(CPO);PCB概念;存储芯片;MiniLED;5G;2025年报预增;新能源汽车;专精特新;华为概念;沪股通;融资融券,17,11
300802,300802.SZ,汽车电子;小米概念;机器视觉;苹果概念;芯片概念;MiniLED;比亚迪概念;华为概念;无人机;PCB概念;特斯拉概念;先进封装;高端装备;人工智能;创投;储能;商业航天;光伏概念;AI应用;深股通,33,20
688622,688622.SH,量子科技;PM2.5;专精特新;粤港澳大湾区;医疗器械概念;食品安全;碳中和;沪股通;融资融券,17,9
300919,300919.SZ,金属钴;金属镍;小金属概念;盐湖提锂;磷化工;钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;特斯拉概念;储能;回购增持再贷款概念;西部大开发;新能源汽车;低空经济;机器人概念;深股通;融资融券,33,19
301095,301095.SZ,存储芯片;光刻机;共封装光学(CPO);第三代半导体;芯片概念;专精特新;信创;人工智能;AI智能体;DeepSeek概念;深股通;融资融券,33,12
301136,301136.SZ,福建自贸区;卫星导航;商业航天;海峡两岸;时空大数据;智慧政务;数字乡村;房屋检测;智慧城市;低空经济;数据要素;无人机;车联网(车路协同);数字经济;数字孪生;水利;地下管网;人工智能;土壤修复;海工装备;虚拟现实;新型城镇化;物联网;乡村振兴;数据中心;国企改革;碳中和;污水处理;融资融券,33,29
920394,920394.BJ,比亚迪概念;风电;高铁;特高压;融资融券;大飞机;新能源汽车;低空经济;无人机;国企改革;专精特新,151,11
300166,300166.SZ,华为昇腾;MLOps概念;Web3.0;智慧政务;华为欧拉;华为鲲鹏;云计算;ChatGPT概念;数据安全;信创;多模态AI;AI智能体;AI语料;AIGC概念;算力租赁;数字乡村;电子身份证;虚拟数字人;区块链;数字水印;数据要素;鸿蒙概念;元宇宙;时空大数据;东数西算(算力);互联网金融;数字经济;DeepSeek概念;互联网保险;智慧城市;人工智能;职业教育;数字孪生;虚拟现实;华为概念;物联网;数据中心;京津冀一体化;5G;工业互联网;机器视觉;AI手机;新型工业化;乡村振兴;海工装备;碳中和;人形机器人;虚拟电厂;AI应用;深股通;融资融券,33,51
001203,001203.SZ,固态电池;小金属概念;金属铅;金属锌;锂电池概念;金属回收;储能;绿色电力;回购增持再贷款概念;西部大开发;职业教育;参股银行;创投;乡村振兴;旅游概念;深股通,33,16
300037,300037.SZ,钠离子电池;氟化工概念;固态电池;锂电池概念;宁德时代概念;超级电容;液冷服务器;比亚迪概念;特斯拉概念;OLED;新能源汽车;先进封装;芯片概念;数据中心;深股通;融资融券,33,16
920438,920438.BJ,商业航天;无人驾驶;6G概念;芯片概念;消费电子概念;军工;核污染防治;海工装备;专精特新;核电;比亚迪概念;先进封装;融资融券,151,13
688678,688678.SH,人形机器人;特斯拉概念;富士康概念;苹果概念;消费电子概念;比亚迪概念;机器人概念;新能源汽车;TOPCON电池;光伏概念;海峡两岸;医疗器械概念;沪股通;融资融券,17,14
600683,600683.SH,特色小镇;物业管理;旅游概念;土地流转;养老概念;国企改革;京津冀一体化;创投,17,8
600740,600740.SH,煤炭概念;煤化工概念;国企改革;融资融券;碳纤维;工业互联网;沪股通,17,7
601118,601118.SH,海南自贸区;赛马概念;农业种植;乡村振兴;碳中和;国企改革;可降解塑料;军工;融资融券;沪股通,17,10
601233,601233.SH,煤炭概念;回购增持再贷款概念;长三角一体化;2025年报预增;互联网金融;沪股通;融资融券,17,7
920284,920284.BJ,锂电池概念;人造肉;专精特新;宁德时代概念;融资融券;固态电池;新型工业化,151,7
600549,600549.SH,金属钴;小金属概念;稀土永磁;动力电池回收;宁德时代概念;固态电池;锂电池概念;光伏概念;可控核聚变;机器人概念;军工;无人机;商业航天;国企改革;海峡两岸;福建自贸区;沪股通;融资融券,17,18
300671,300671.SZ,MCU芯片;汽车芯片;存储芯片;先进封装;MiniLED;第三代半导体;WiFi 6;芯片概念;无线耳机;5G;毫米波雷达;新型烟草(电子烟);专精特新;智能家居;粤港澳大湾区;海峡两岸;深股通;融资融券,33,18
001330,001330.SZ,AI应用;短剧游戏;Sora概念(文生视频);文化传媒概念;IP经济(谷子经济);AIGC概念;抖音概念(字节概念);腾讯概念;阿里巴巴概念;新疆振兴;西部大开发;深股通,33,12
301040,301040.SZ,卫星导航;商业航天;专精特新;人民币贬值受益;军工;高端装备;核电;风电;绿色电力;融资融券,33,10
603618,603618.SH,特高压;智能电网;光纤概念;抽水蓄能;光伏概念;风电;储能;石墨烯;PET铜箔;新能源汽车;锂电池概念;共同富裕示范区;5G;沪股通;融资融券,17,15
600295,600295.SH,煤炭概念;小金属概念;硅能源;水泥概念;西部大开发;光伏概念;沪股通;创投;融资融券,17,9
603876,603876.SH,钠离子电池;固态电池;锂电池概念;宁德时代概念;储能;比亚迪概念;2025年报预增;沪股通;融资融券,17,9
301292,301292.SZ,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,33,8
601958,601958.SH,小金属概念;西部大开发;OLED;国企改革;沪股通;融资融券;军工,17,7
002759,002759.SZ,氟化工概念;钠离子电池;磷化工;固态电池;锂电池概念;宁德时代概念;比亚迪概念;家用电器;深股通;融资融券,33,10
002636,002636.SZ,PCB概念;2025年报预增;消毒剂;医疗器械概念;深股通;融资融券,33,6
600370,600370.SH,沪股通,17,1
002177,002177.SZ,互联网金融;人脸识别;国产操作系统;数字经济;创投;物业管理;粤港澳大湾区;深股通;融资融券,33,9
000029,000029.SZ,物业管理;深圳国企改革;国企改革;粤港澳大湾区;深股通;融资融券,33,6
920066,920066.BJ,染料;新能源汽车;专精特新;家用电器;融资融券,151,5
603150,603150.SH,家用电器;创投;传感器;无人驾驶;毫米波雷达;冷链物流;比亚迪概念;新能源汽车;汽车电子;一带一路;可降解塑料;军工;PCB概念;稀土永磁,17,14
300250,300250.SZ,云办公;Web3.0;华为鲲鹏;数据安全;网络安全;信创;AI智能体;WiFi 6;智慧政务;鸿蒙概念;F5G概念;6G概念;数字乡村;东数西算(算力);虚拟现实;人工智能;卫星导航;数字经济;华为概念;5G;物联网;工业互联网;智能家居;共同富裕示范区;AI应用,33,25
688059,688059.SH,2025年报预增;工业母机;专精特新;机器人概念;沪股通;融资融券,17,6
300125,300125.SZ,新型烟草(电子烟);HJT电池;烟草;TOPCON电池;光伏概念;ST板块;工业大麻;绿色电力,33,8
300658,300658.SZ,三胎概念;人民币贬值受益;海峡两岸;福建自贸区;股权转让(并购重组),33,5
688717,688717.SH,虚拟电厂;光伏概念;锂电池概念;储能;充电桩;人民币贬值受益;沪股通;融资融券,17,8
603225,603225.SH,回购增持再贷款概念;长三角一体化;工业互联网;沪股通;融资融券,17,5
600299,600299.SH,国企改革;央企国企改革;维生素;人民币贬值受益;DeepSeek概念;沪股通;融资融券,17,7
002919,002919.SZ,虚拟现实;网络游戏;元宇宙;手机游戏;抖音概念(字节概念),33,5
920015,920015.BJ,有机硅概念;光刻胶;专精特新;新股与次新股;融资融券;国企改革,151,6
002201,002201.SZ,商业航天;风电;高铁;创投;比亚迪概念;2025年报预增;深股通;融资融券,33,8
002517,002517.SZ,网络游戏;手机游戏;电子竞技;AIGC概念;元宇宙;NFT概念;鸿蒙概念;腾讯概念;虚拟现实;区块链;人工智能;IP经济(谷子经济);华为概念;数字经济;AI眼镜;AI应用;深股通;融资融券,33,18
000612,000612.SZ,股权转让(并购重组);稀土永磁;煤炭概念;2025年报预增;深股通;融资融券,33,6
300921,300921.SZ,算力租赁;云办公;抖音概念(字节概念);云计算;腾讯概念;东数西算(算力);智慧政务;阿里巴巴概念;网络安全;智能医疗;百度概念;信创;AI智能体;数据安全;区块链;DeepSeek概念;人工智能;数字经济;数据中心;智慧城市;华为概念;互联网金融;工业互联网;粤港澳大湾区;一带一路;融资融券,33,26
300875,300875.SZ,核污染防治;军民融合;军工;无人机;低空经济;食品安全;高端装备;核电;机器人概念;专精特新;京津冀一体化;融资融券,33,12
301550,301550.SZ,减速器;人形机器人;新能源汽车;机器人概念;专精特新;人民币贬值受益;农机;工业互联网;数字经济;深股通;融资融券,33,11
000850,000850.SZ,冷链物流;国企改革;参股银行;小金属概念;参股保险;创投;金属铜;金属铅;金属锌;参股券商;数字经济;融资融券,33,12
002886,002886.SZ,PEEK材料;人形机器人;特斯拉概念;小米汽车;3D打印;新型烟草(电子烟);碳纤维;新能源汽车;富士康概念;华为汽车;专精特新;机器人概念;小米概念;芯片概念;毫米波雷达;无人机;光伏概念;低空经济;军工;PCB概念;石墨烯;5G;商业航天;6G概念;华为概念;粤港澳大湾区;核电;2025年报预增;特高压;合成生物;深股通,33,31
002012,002012.SZ,烟草;共同富裕示范区;碳中和;超级电容;储能;数字经济;互联网金融;数据要素,33,8
688278,688278.SH,创新药;绿色电力;肝炎概念;福建自贸区;沪股通;融资融券,17,6
688150,688150.SH,PCB概念;柔性屏(折叠屏);OLED;专精特新;西部大开发;钙钛矿电池;沪股通;融资融券,17,8
002812,002812.SZ,固态电池;宁德时代概念;锂电池概念;储能;比亚迪概念;新能源汽车;烟草;充电桩;消费电子概念;专精特新;同花顺漂亮100;西部大开发;深股通;人工智能;融资融券,33,15
600963,600963.SH,生物质能发电;碳中和;雄安新区;污水处理;碳交易;PPP概念;国企改革;央企国企改革;DeepSeek概念;人工智能;沪股通;融资融券,17,12
601112,601112.SH,风电;光伏概念;新能源汽车;碳纤维;注册制次新股;比亚迪概念;新股与次新股;融资融券,17,8
603619,603619.SH,俄乌冲突概念;天然气;新疆振兴;回购增持再贷款概念;一带一路;沪股通;海工装备;机器人概念;融资融券,17,9
300352,300352.SZ,财税数字化;华为鲲鹏;数字水印;网络安全;信创;数据安全;数字货币;智慧政务;语音技术;国产操作系统;智慧城市;量子科技;军工信息化;云计算;区块链;鸿蒙概念;互联网金融;云办公;华为盘古;安防;人工智能;ChatGPT概念;DeepSeek概念;物联网;华为概念;智谱AI;百度概念;低空经济;军民融合;军工;工业互联网;商业航天;智能家居;脑机接口;深股通;融资融券,33,36
603301,603301.SH,医药电商;人民币贬值受益;医疗器械概念;跨境电商;沪股通;融资融券,17,6
300490,300490.SZ,固态电池;钠离子电池;宁德时代概念;锂电池概念;光伏概念;高压快充;MiniLED;储能;比亚迪概念;换电概念;智能电网;新型工业化;虚拟电厂;数据中心;充电桩;光伏建筑一体化;机器视觉;风电;华为概念;碳中和;垃圾分类;机器人概念;航空发动机;工业互联网;军工;虚拟现实;净水概念;一带一路;绿色电力;数字孪生;污水处理;多模态AI;碳交易;人工智能;国产操作系统;水利;华为鲲鹏;DeepSeek概念;数据要素;数字经济,33,40
